Ecovyst Price to Free Cash Flow Ratio Historical Data,Ecovyst Price to Free Cash Flow Ratio Historical Data,Ecovyst Price to Free Cash Flow Ratio Historical Data,Ecovyst Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.58,,9.49
2024-12-31,7.64,$0.69,11.02
2024-09-30,6.85,$0.90,7.59
2024-06-30,8.97,$0.67,13.34
2024-03-31,11.15,$0.89,12.57
2023-12-31,9.77,$0.60,16.15
2023-09-30,9.84,$0.59,16.59
2023-06-30,11.46,$0.77,14.93
2023-03-31,11.05,$0.86,12.89
2022-12-31,8.86,$0.95,9.37
2022-09-30,8.44,$0.74,11.48
2022-06-30,9.85,$0.55,18.06
2022-03-31,11.56,$0.44,26.24
2021-12-31,10.24,$0.51,20.18
2021-09-30,11.66,$0.67,17.38
2021-06-30,12.37,$1.08,11.44
2021-03-31,13.45,$1.31,10.25
2020-12-31,11.49,$1.24,9.29
2020-09-30,7.27,$1.56,4.67
2020-06-30,9.38,$1.72,5.44
2020-03-31,7.72,$1.58,4.89
2019-12-31,12.17,$1.57,7.76
2019-09-30,11.29,$1.36,8.28
2019-06-30,11.23,$1.29,8.69
2019-03-31,10.74,$1.05,10.23
2018-12-31,10.49,$1.02,10.32
2018-09-30,12.37,$0.56,22.17
2018-06-30,12.75,$0.10,124.49
