Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,295.53,,32.75
2024-12-31,331.87,$9.02,36.78
2024-09-30,330.5,$8.36,39.54
2024-06-30,311.59,$7.91,39.41
2024-03-31,309.81,$7.68,40.35
2023-12-31,237.86,$7.34,32.42
2023-09-30,209.82,$7.07,29.66
2023-06-30,197.05,$6.93,28.44
2023-03-31,167.05,$5.94,28.14
2022-12-31,152.28,$5.23,29.09
2022-09-30,128.73,$4.42,29.14
2022-06-30,120.96,$3.02,40.11
2022-03-31,144.87,$3.54,40.92
2021-12-31,164.08,$4.06,40.38
2021-09-30,141.13,$4.56,30.97
2021-06-30,139.43,$5.76,24.19
2021-03-31,129.44,$6.19,20.9
2020-12-31,111.85,$6.35,17.6
2020-09-30,94.36,$6.10,15.46
2020-06-30,80.33,$6.32,12.72
2020-03-31,70.64,$6.38,11.08
2019-12-31,85.31,$6.81,12.53
2019-09-30,74.28,$6.47,11.47
2019-06-30,73.74,$6.19,11.91
2019-03-31,70.72,$5.26,13.44
2018-12-31,59.74,$4.79,12.47
2018-09-30,74.79,$4.85,15.43
2018-06-30,63.93,$4.31,14.82
2018-03-31,67.74,$4.50,15.05
2017-12-31,66.45,$4.80,13.84
2017-09-30,64.1,$4.29,14.96
2017-06-30,64.45,$4.37,14.75
2017-03-31,60.92,$4.71,12.94
2016-12-31,54.67,$4.54,12.04
2016-09-30,53.04,$4.85,10.93
2016-06-30,47.79,$5.14,9.3
2016-03-31,49.59,$4.74,10.47
2015-12-31,40.85,$4.07,10.03
2015-09-30,39.88,$4.15,9.61
2015-06-30,52.0,$2.63,19.75
2015-03-31,51.93,$2.76,18.83
2014-12-31,51.54,$2.61,19.72
2014-09-30,47.71,$2.49,19.17
2014-06-30,57.69,$3.40,16.98
2014-03-31,55.78,$3.35,16.67
2013-12-31,56.15,$3.51,16.02
2013-09-30,50.48,$3.41,14.81
2013-06-30,47.97,$3.60,13.32
2013-03-31,44.34,$3.60,12.3
2012-12-31,38.95,$3.05,12.76
2012-09-30,33.71,$2.92,11.56
2012-06-30,28.02,$2.90,9.66
2012-03-31,34.94,$2.52,13.86
2011-12-31,30.29,$1.98,15.27
2011-09-30,24.52,$1.98,12.38
2011-06-30,35.26,$1.51,23.39
2011-03-31,37.74,$2.07,18.22
2010-12-31,34.34,$2.62,13.13
2010-09-30,27.73,$2.87,9.65
2010-06-30,21.84,$3.18,6.86
2010-03-31,25.11,$2.88,8.72
2009-12-31,20.92,$3.61,5.79
