Bitcoin Depot Price to Free Cash Flow Ratio Historical Data,Bitcoin Depot Price to Free Cash Flow Ratio Historical Data,Bitcoin Depot Price to Free Cash Flow Ratio Historical Data,Bitcoin Depot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.38,,1.08
2024-09-30,1.58,$1.28,1.23
2024-06-30,1.8,$1.46,1.23
2024-03-31,1.9,$2.55,0.74
2023-12-31,3.23,$2.46,1.31
2023-09-30,2.63,$2.02,1.31
2023-06-30,3.23,$1.60,2.02
2023-03-31,10.35,0,0.0
