"Summit Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Summit Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Summit Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Summit Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.49,,8.25
2024-06-30,35.56,$4.54,7.83
2024-03-31,28.07,$4.86,5.77
2023-12-31,17.91,$5.64,3.18
2023-09-30,13.85,$5.25,2.64
2023-06-30,16.25,$4.26,3.81
2023-03-31,15.35,$6.58,2.33
2022-12-31,16.68,$7.29,2.29
2022-09-30,15.02,$12.17,1.23
2022-06-30,12.73,$13.62,0.93
2022-03-31,14.88,$16.85,0.88
2021-12-31,22.2,$21.97,1.01
2021-09-30,35.55,$28.62,1.24
2021-06-30,30.38,$30.33,1.0
2021-03-31,23.57,$34.08,0.69
2020-12-31,12.49,$42.08,0.3
2020-09-30,9.81,$36.31,0.27
2020-06-30,14.86,$31.09,0.48
2020-03-31,9.15,$28.00,0.33
2019-12-31,47.59,$27.00,1.76
2019-09-30,65.91,$21.44,3.07
2019-06-30,96.86,$22.47,4.31
2019-03-31,122.62,$19.62,6.25
2018-12-31,121.29,$5.67,21.39
2018-09-30,166.26,$6.89,24.12
2018-06-30,173.16,$12.38,13.98
2018-03-31,151.79,$15.95,9.52
2017-12-31,215.76,$23.79,9.07
2017-09-30,204.68,$32.11,6.38
2017-06-30,225.94,$25.77,8.77
2017-03-31,233.47,$28.01,8.33
2016-12-31,238.75,$19.28,12.38
2016-09-30,211.92,$3.20,66.2
2016-06-30,205.62,$-11.54,0.0
2016-03-31,148.59,$-28.88,0.0
2015-12-31,158.4,$-30.91,0.0
2015-09-30,144.74,$-92.52,0.0
2015-06-30,265.66,$-93.46,0.0
2015-03-31,254.26,$-90.68,0.0
2014-12-31,296.09,$-85.71,0.0
2014-09-30,391.63,$-54.72,0.0
2014-06-30,387.39,$-37.54,0.0
2014-03-31,322.83,$-17.35,0.0
2013-12-31,272.62,$-23.19,0.0
2013-09-30,249.1,$14.39,17.31
2013-06-30,247.37,$11.76,21.04
