Presidio Property Trust Price to Free Cash Flow Ratio Historical Data,Presidio Property Trust Price to Free Cash Flow Ratio Historical Data,Presidio Property Trust Price to Free Cash Flow Ratio Historical Data,Presidio Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.6,,0.37
2024-09-30,0.72,$1.61,0.45
2024-06-30,0.7,$1.67,0.42
2024-03-31,1.22,$1.38,0.88
2023-12-31,1.03,$0.47,2.21
2023-09-30,0.8,$0.75,1.06
2023-06-30,0.9,$0.77,1.17
2023-03-31,1.03,$0.88,1.17
2022-12-31,0.95,$2.09,0.45
2022-09-30,1.25,$2.19,0.57
2022-06-30,3.19,$1.76,1.81
2022-03-31,3.6,$4.18,0.86
2021-12-31,3.68,$4.87,0.76
2021-09-30,3.46,$9.04,0.38
