AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data,AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data,AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data,AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.12,,12.78
2024-12-31,37.09,$2.98,12.43
2024-09-30,34.16,$2.87,11.91
2024-06-30,32.36,$2.76,11.75
2024-03-31,32.56,$2.68,12.15
2023-12-31,28.41,$2.60,10.92
2023-09-30,27.16,$2.64,10.27
2023-06-30,28.24,$2.70,10.46
2023-03-31,31.49,$2.97,10.61
2022-12-31,29.1,$3.56,8.17
2022-09-30,29.17,$3.74,7.79
2022-06-30,34.05,$3.99,8.54
2022-03-31,37.65,$3.81,9.89
2021-12-31,38.02,$3.57,10.66
2021-09-30,38.0,$3.37,11.28
2021-06-30,35.05,$3.08,11.38
2021-03-31,29.56,$2.98,9.91
2020-12-31,24.33,$2.79,8.73
2020-09-30,19.03,$2.75,6.93
2020-06-30,18.77,$2.69,6.99
2020-03-31,12.46,$2.54,4.91
2019-12-31,19.78,$2.32,8.52
2019-09-30,18.78,$2.37,7.91
2019-06-30,18.66,$2.45,7.62
2019-03-31,18.13,$2.68,6.78
2018-12-31,16.79,$2.87,5.85
2018-09-30,18.27,$2.66,6.87
2018-06-30,16.76,$2.55,6.57
2018-03-31,15.34,$2.29,6.71
2017-12-31,13.88,$2.13,6.53
2017-09-30,13.2,$2.08,6.36
2017-06-30,12.6,$1.97,6.4
2017-03-31,11.9,$1.85,6.45
2016-12-31,11.88,$1.74,6.83
2016-09-30,11.31,$1.75,6.48
2016-06-30,11.35,$1.81,6.27
2016-03-31,11.21,$1.86,6.04
2015-12-31,11.12,$1.92,5.8
2015-09-30,12.2,$1.94,6.3
2015-06-30,13.31,$1.89,7.06
2015-03-31,13.72,$1.82,7.56
2014-12-31,11.24,$1.85,6.09
2014-09-30,11.13,$1.67,6.65
2014-06-30,10.88,$1.76,6.2
2014-03-31,10.33,$1.83,5.64
2013-12-31,8.61,$1.60,5.4
2013-09-30,7.88,$1.70,4.64
2013-06-30,8.11,$1.40,5.78
2013-03-31,8.4,$1.28,6.56
2012-12-31,6.57,$0.99,6.64
2012-09-30,5.68,$0.88,6.49
2012-06-30,4.6,$1.02,4.53
2012-03-31,5.56,$1.17,4.73
2011-12-31,4.62,$1.47,3.15
2011-09-30,4.73,$1.33,3.55
2011-06-30,6.58,$1.28,5.13
2011-03-31,7.24,$1.30,5.57
2010-12-31,7.61,$1.49,5.1
2010-09-30,8.57,$3.01,2.85
2010-06-30,8.29,$2.63,3.15
2010-03-31,9.69,$2.12,4.58
2009-12-31,8.68,$1.43,6.07
