"USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data","USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data","USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data","USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.46,,22.81
2024-12-31,23.56,$1.20,19.57
2024-09-30,22.38,$0.43,52.5
2024-06-30,22.66,$0.27,84.04
2024-03-31,24.94,$0.05,460.23
2023-12-31,20.91,$0.38,54.39
2023-09-30,21.41,$0.66,32.48
2023-06-30,17.26,$0.70,24.74
2023-03-31,18.01,$1.19,15.16
2022-12-31,16.23,$1.33,12.2
2022-09-30,14.05,$1.61,8.73
2022-06-30,13.08,$1.89,6.94
2022-03-31,13.4,$2.12,6.32
2021-12-31,12.86,$2.31,5.56
2021-09-30,11.85,$2.53,4.67
2021-06-30,11.4,$2.39,4.77
2021-03-31,10.24,$2.21,4.64
2020-12-31,8.8,$1.93,4.56
2020-09-30,6.18,$1.61,3.85
2020-06-30,6.42,$1.71,3.74
2020-03-31,3.13,$1.52,2.06
2019-12-31,9.71,$1.57,6.17
2019-09-30,8.97,$1.23,7.31
2019-06-30,8.97,$0.81,11.1
2019-03-31,7.65,$-0.28,0.0
2018-12-31,6.14,$-0.41,0.0
2018-09-30,7.81,$-0.63,0.0
2018-06-30,7.71,$-0.50,0.0
2018-03-31,7.54,$-0.04,0.0
2017-12-31,7.16,0,0.0
2017-09-30,7.01,$-0.88,0.0
2017-06-30,6.64,$-0.62,0.0
2017-03-31,6.65,$-0.06,0.0
2016-12-31,6.62,0,0.0
2016-09-30,6.99,$0.78,8.99
2016-06-30,5.27,$0.14,38.34
2016-03-31,4.07,$-1.00,0.0
2015-12-31,3.8,$-3.36,0.0
2015-09-30,4.62,$-5.29,0.0
2015-06-30,5.96,$-5.70,0.0
2015-03-31,6.22,$-6.83,0.0
2014-12-31,4.9,$-6.60,0.0
2014-09-30,7.02,$-5.26,0.0
2014-06-30,7.27,$-5.62,0.0
2014-03-31,7.3,$-4.31,0.0
2013-12-31,7.32,$-2.77,0.0
