Nephros Price to Free Cash Flow Ratio Historical Data,Nephros Price to Free Cash Flow Ratio Historical Data,Nephros Price to Free Cash Flow Ratio Historical Data,Nephros Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.5,,0.0
2024-09-30,1.71,$-0.20,0.0
2024-06-30,2.11,$-0.09,0.0
2024-03-31,2.19,$-0.02,0.0
2023-12-31,3.46,$0.07,47.79
2023-09-30,1.48,$0.08,17.94
2023-06-30,1.55,$0.01,116.54
2023-03-31,1.07,$-0.12,0.0
2022-12-31,1.16,$-0.33,0.0
2022-09-30,0.91,$-0.34,0.0
2022-06-30,1.53,$-0.42,0.0
2022-03-31,4.4,$-0.32,0.0
2021-12-31,5.9,$-0.15,0.0
2021-09-30,8.77,$-0.28,0.0
2021-06-30,10.15,$-0.39,0.0
2021-03-31,6.65,$-0.58,0.0
2020-12-31,8.58,$-0.79,0.0
2020-09-30,7.23,$-0.58,0.0
2020-06-30,8.39,$-0.72,0.0
