Arhaus Price to Free Cash Flow Ratio Historical Data,Arhaus Price to Free Cash Flow Ratio Historical Data,Arhaus Price to Free Cash Flow Ratio Historical Data,Arhaus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.26,,27.37
2024-12-31,9.4,$0.34,27.8
2024-09-30,12.31,$0.09,134.39
2024-06-30,16.94,$0.49,34.76
2024-03-31,15.39,$0.62,24.8
2023-12-31,11.85,$0.54,22.06
2023-09-30,9.3,$0.64,14.54
2023-06-30,10.43,$0.21,48.67
2023-03-31,8.29,$-0.03,0.0
2022-12-31,9.75,$0.16,62.46
2022-09-30,7.05,$0.98,7.23
