Spero Therapeutics Price to Free Cash Flow Ratio Historical Data,Spero Therapeutics Price to Free Cash Flow Ratio Historical Data,Spero Therapeutics Price to Free Cash Flow Ratio Historical Data,Spero Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.78,,0.0
2024-09-30,1.34,$-0.33,0.0
2024-06-30,1.3,$-0.26,0.0
2024-03-31,1.72,$-0.27,0.0
2023-12-31,1.47,$-0.62,0.0
2023-09-30,1.21,$0.96,1.27
2023-06-30,1.45,$0.75,1.93
2023-03-31,1.45,$0.42,3.49
2022-12-31,1.73,$-0.21,0.0
2022-09-30,2.0,$-2.39,0.0
2022-06-30,0.74,$-2.56,0.0
2022-03-31,8.7,$-2.42,0.0
2021-12-31,16.01,$-2.08,0.0
2021-09-30,18.41,$-1.82,0.0
2021-06-30,13.96,$-2.58,0.0
2021-03-31,14.72,$-3.17,0.0
2020-12-31,19.39,$-3.84,0.0
2020-09-30,11.16,$-4.19,0.0
2020-06-30,13.53,$-3.80,0.0
2020-03-31,8.08,$-3.33,0.0
2019-12-31,9.62,$-2.77,0.0
2019-09-30,10.6,$-2.89,0.0
2019-06-30,11.51,$-2.51,0.0
2019-03-31,12.81,$-2.44,0.0
2018-12-31,6.15,$-2.63,0.0
2018-09-30,10.51,$-16.63,0.0
