Digital Ally/NV Price to Free Cash Flow Ratio Historical Data,Digital Ally/NV Price to Free Cash Flow Ratio Historical Data,Digital Ally/NV Price to Free Cash Flow Ratio Historical Data,Digital Ally/NV Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.07,,0.0
2024-09-30,1.04,$-2.29,0.0
2024-06-30,2.4,$-3.44,0.0
2024-03-31,2.52,$-3.27,0.0
2023-12-31,2.12,$-3.59,0.0
2023-09-30,2.08,$-2.14,0.0
2023-06-30,4.05,$-3.71,0.0
2023-03-31,4.62,$-5.24,0.0
2022-12-31,0.23,$-7.86,0.0
2022-09-30,0.46,$-10.63,0.0
2022-06-30,0.79,$-10.44,0.0
2022-03-31,1.09,$-11.27,0.0
2021-12-31,1.07,$-9.66,0.0
2021-09-30,1.21,$-11.69,0.0
2021-06-30,1.8,$-12.99,0.0
2021-03-31,1.63,$-11.39,0.0
2020-12-31,2.34,$-12.86,0.0
2020-09-30,2.14,$-9.93,0.0
2020-06-30,3.14,$-8.81,0.0
2020-03-31,0.85,$-2.14,0.0
2019-12-31,1.02,$-2.31,0.0
2019-09-30,1.28,$-12.22,0.0
2019-06-30,1.45,$-15.78,0.0
2019-03-31,3.72,$-23.68,0.0
2018-12-31,2.68,$-22.24,0.0
2018-09-30,2.85,$-10.14,0.0
2018-06-30,2.35,$-10.55,0.0
2018-03-31,2.6,$-10.45,0.0
2017-12-31,2.65,$-19.15,0.0
2017-09-30,2.4,$-24.19,0.0
2017-06-30,3.1,$-26.15,0.0
2017-03-31,4.3,$-29.90,0.0
2016-12-31,4.2,$-23.35,0.0
2016-09-30,5.94,$-25.66,0.0
2016-06-30,3.88,$-18.60,0.0
2016-03-31,4.95,$-18.70,0.0
2015-12-31,6.32,$-37.37,0.0
2015-09-30,6.23,$-30.25,0.0
2015-06-30,13.84,$-44.20,0.0
2015-03-31,12.75,$-43.31,0.0
2014-12-31,15.32,$-27.85,0.0
2014-09-30,16.02,$-26.63,0.0
2014-06-30,3.11,$-16.09,0.0
2014-03-31,6.14,$-12.13,0.0
2013-12-31,9.19,$-7.87,0.0
2013-09-30,13.69,$-6.38,0.0
2013-06-30,7.48,$-1.94,0.0
2013-03-31,4.36,$-6.21,0.0
2012-12-31,3.48,$-8.18,0.0
2012-09-30,3.44,$-10.54,0.0
2012-06-30,3.52,$-3.62,0.0
2012-03-31,6.16,$6.49,0.95
2011-12-31,4.8,$8.17,0.59
2011-09-30,6.16,$10.68,0.58
2011-06-30,9.28,$-20.70,0.0
2011-03-31,10.4,$-15.05,0.0
2010-12-31,14.0,$-6.30,0.0
2010-09-30,15.36,$-17.62,0.0
2010-06-30,16.96,$11.61,1.46
2010-03-31,14.8,$6.34,2.33
2009-12-31,16.4,$-7.60,0.0
