Vivid Seats Price to Free Cash Flow Ratio Historical Data,Vivid Seats Price to Free Cash Flow Ratio Historical Data,Vivid Seats Price to Free Cash Flow Ratio Historical Data,Vivid Seats Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.01,,12.67
2024-12-31,4.63,$0.24,19.49
2024-09-30,3.7,$-0.40,0.0
2024-06-30,5.75,$0.44,13.11
2024-03-31,5.99,$0.59,10.15
2023-12-31,6.32,$0.74,8.58
2023-09-30,6.42,$1.24,5.16
2023-06-30,7.92,$0.47,16.78
2023-03-31,7.63,$0.27,28.19
2022-12-31,7.3,$0.05,134.19
2022-09-30,7.66,$1.16,6.62
2022-06-30,7.47,$2.25,3.31
2022-03-31,11.06,$2.37,4.67
2021-12-31,10.88,$2.25,4.83
2021-09-30,9.98,$1.08,9.24
