Elevance Health Price to Free Cash Flow Ratio Historical Data,Elevance Health Price to Free Cash Flow Ratio Historical Data,Elevance Health Price to Free Cash Flow Ratio Historical Data,Elevance Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,434.28,,22.22
2024-12-31,368.9,$19.54,18.87
2024-09-30,517.85,$3.83,135.16
2024-06-30,538.01,$3.64,147.78
2024-03-31,513.3,$10.02,51.23
2023-12-31,465.28,$28.50,16.33
2023-09-30,428.31,$34.97,12.25
2023-06-30,435.6,$44.26,9.84
2023-03-31,449.39,$46.22,9.72
2022-12-31,499.74,$29.85,16.74
2022-09-30,441.44,$42.74,10.33
2022-06-30,467.76,$32.79,14.26
2022-03-31,474.88,$29.57,16.06
2021-12-31,446.9,$29.49,15.16
2021-09-30,358.4,$38.06,9.42
2021-06-30,365.94,$23.26,15.74
2021-03-31,343.03,$38.27,8.96
2020-12-31,305.82,$38.01,8.04
2020-09-30,255.07,$27.85,9.16
2020-06-30,248.85,$38.85,6.41
2020-03-31,214.15,$22.84,9.38
2019-12-31,283.88,$19.15,14.83
2019-09-30,225.04,$16.00,14.07
2019-06-30,263.67,$11.51,22.9
2019-03-31,267.36,$7.64,35.01
2018-12-31,244.03,$9.91,24.62
2018-09-30,254.64,$3.38,75.4
2018-06-30,220.56,$10.79,20.44
2018-03-31,202.92,$10.80,18.78
2017-12-31,207.14,$12.67,16.34
2017-09-30,174.26,$19.03,9.16
2017-06-30,172.03,$13.68,12.57
2017-03-31,150.7,$14.84,10.15
2016-12-31,130.5,$10.02,13.03
2016-09-30,113.24,$12.46,9.09
2016-06-30,118.08,$10.40,11.35
2016-03-31,124.35,$12.30,10.11
2015-12-31,124.14,$13.22,9.39
2015-09-30,124.06,$10.63,11.67
2015-06-30,144.83,$11.40,12.7
2015-03-31,135.72,$10.88,12.47
2014-12-31,109.99,$9.59,11.47
2014-09-30,104.34,$9.60,10.87
2014-06-30,93.52,$11.96,7.82
2014-03-31,86.16,$9.55,9.02
2013-12-31,79.58,$8.05,9.89
2013-09-30,71.72,$9.56,7.5
2013-06-30,69.9,$5.92,11.8
2013-03-31,56.29,$6.31,8.92
2012-12-31,51.47,$6.77,7.6
2012-09-30,48.76,$4.55,10.71
2012-06-30,53.36,$7.89,6.77
2012-03-31,61.47,$8.40,7.32
2011-12-31,54.94,$7.83,7.02
2011-09-30,53.93,$9.35,5.77
2011-06-30,64.83,$7.53,8.61
2011-03-31,57.25,$5.98,9.57
2010-12-31,46.47,$2.32,20.0
2010-09-30,46.29,$1.05,44.29
2010-06-30,39.99,$1.96,20.4
2010-03-31,52.62,$2.30,22.9
2009-12-31,47.64,$5.54,8.6
