Reservoir Media Price to Free Cash Flow Ratio Historical Data,Reservoir Media Price to Free Cash Flow Ratio Historical Data,Reservoir Media Price to Free Cash Flow Ratio Historical Data,Reservoir Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.49,,10.57
2024-12-31,9.05,$0.71,12.77
2024-09-30,8.11,$0.59,13.63
2024-06-30,7.9,$0.70,11.33
2024-03-31,7.93,$0.55,14.39
2023-12-31,7.13,$0.42,17.18
2023-09-30,6.1,$0.59,10.41
2023-06-30,6.02,$0.43,13.89
2023-03-31,6.52,$0.48,13.73
2022-12-31,5.97,$0.42,14.37
2022-09-30,4.88,$0.36,13.45
2022-06-30,6.52,$0.11,61.28
2022-03-31,9.83,$0.21,46.81
2021-12-31,7.91,$0.13,59.56
