Ares Acquisition II Price to Free Cash Flow Ratio Historical Data,Ares Acquisition II Price to Free Cash Flow Ratio Historical Data,Ares Acquisition II Price to Free Cash Flow Ratio Historical Data,Ares Acquisition II Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.19,,0.0
2024-12-31,10.98,$-0.07,0.0
2024-09-30,10.83,$-0.08,0.0
2024-06-30,10.67,$-0.08,0.0
2024-03-31,10.57,$-0.13,0.0
