Summit State Bank Price to Free Cash Flow Ratio Historical Data,Summit State Bank Price to Free Cash Flow Ratio Historical Data,Summit State Bank Price to Free Cash Flow Ratio Historical Data,Summit State Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.27,,inf
2024-12-31,7.65,0,0.0
2024-09-30,8.4,0,0.0
2024-06-30,9.4,0,0.0
2024-03-31,10.65,0,0.0
2023-12-31,11.92,0,0.0
2023-09-30,15.41,0,0.0
2023-06-30,14.41,0,0.0
2023-03-31,13.12,0,0.0
2022-12-31,14.83,0,0.0
2022-09-30,13.52,0,0.0
2022-06-30,14.07,0,0.0
2022-03-31,15.68,0,0.0
2021-12-31,14.1,0,0.0
2021-09-30,16.27,0,0.0
2021-06-30,12.68,0,0.0
2021-03-31,13.22,0,0.0
2020-12-31,10.83,0,0.0
2020-09-30,8.87,0,0.0
2020-06-30,7.06,0,0.0
2020-03-31,6.21,0,0.0
2019-12-31,9.98,0,0.0
2019-09-30,8.99,0,0.0
2019-06-30,8.39,0,0.0
2019-03-31,8.74,0,0.0
2018-12-31,8.8,0,0.0
2018-09-30,11.36,0,0.0
2018-06-30,11.35,0,0.0
2018-03-31,9.82,0,0.0
2017-12-31,9.1,0,0.0
2017-09-30,8.91,0,0.0
2017-06-30,9.21,0,0.0
2017-03-31,9.16,0,0.0
2016-12-31,8.37,0,0.0
2016-09-30,7.51,0,0.0
2016-06-30,7.53,0,0.0
2016-03-31,7.2,0,0.0
2015-12-31,7.41,0,0.0
2015-09-30,6.98,0,0.0
2015-06-30,6.94,0,0.0
2015-03-31,6.9,0,0.0
2014-12-31,7.22,0,0.0
2014-09-30,6.69,0,0.0
2014-06-30,6.73,0,0.0
2014-03-31,5.54,0,0.0
2013-12-31,5.27,0,0.0
2013-09-30,4.65,0,0.0
2013-06-30,4.62,0,0.0
2013-03-31,4.0,0,0.0
2012-12-31,3.24,0,0.0
2012-09-30,2.94,0,0.0
2012-06-30,2.69,0,0.0
2012-03-31,2.81,0,0.0
2011-12-31,2.36,0,0.0
2011-09-30,2.31,0,0.0
2011-06-30,2.97,0,0.0
2011-03-31,3.04,0,0.0
2010-12-31,3.01,0,0.0
2010-09-30,2.86,0,0.0
2010-06-30,2.61,0,0.0
2010-03-31,2.78,$-0.68,0.0
2009-12-31,2.22,0,0.0
