Titan Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Titan Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Titan Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Titan Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.65,,0.0
2024-12-31,3.26,$-4.32,0.0
2024-09-30,5.27,$-6.98,0.0
2024-06-30,5.57,$-8.36,0.0
2024-03-31,7.16,$-7.62,0.0
2023-12-31,8.25,$-9.43,0.0
2023-09-30,9.48,$-9.30,0.0
2023-06-30,12.92,$-9.28,0.0
2023-03-31,16.6,$-9.18,0.0
2022-12-31,15.66,$-12.18,0.0
2022-09-30,21.6,$-11.45,0.0
2022-06-30,11.18,$-13.92,0.0
2022-03-31,19.13,$-16.16,0.0
2021-12-31,20.4,$-16.28,0.0
2021-09-30,37.4,$-27.20,0.0
2021-06-30,52.0,$-44.67,0.0
2021-03-31,59.6,$-61.65,0.0
2020-12-31,65.8,$-94.05,0.0
2020-09-30,99.24,$-29.06,0.0
2020-06-30,183.72,$-90.79,0.0
2020-03-31,139.8,$-250.24,0.0
2019-12-31,116.46,$-409.95,0.0
2019-09-30,161.4,$-541.11,0.0
2019-06-30,768.0,$-817.76,0.0
2019-03-31,1068.0,$-952.29,0.0
2018-12-31,802.8,$-934.16,0.0
2018-09-30,745.56,"$-1,451.07",0.0
2018-06-30,3924.0,"$-1,714.89",0.0
2018-03-31,3780.0,"$-1,832.79",0.0
2017-12-31,4770.0,"$-2,181.72",0.0
2017-09-30,6300.0,"$-2,019.85",0.0
2017-06-30,6840.0,"$-1,813.94",0.0
2017-03-31,11880.0,$869.36,13.67
2016-12-31,14400.0,"$1,027.92",14.01
2016-09-30,21168.0,$97.17,217.85
