Modular Medical Price to Free Cash Flow Ratio Historical Data,Modular Medical Price to Free Cash Flow Ratio Historical Data,Modular Medical Price to Free Cash Flow Ratio Historical Data,Modular Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.05,,0.0
2024-12-31,1.37,$-0.52,0.0
2024-09-30,2.25,$-0.62,0.0
2024-06-30,1.58,$-0.62,0.0
2024-03-31,1.85,$-0.70,0.0
2023-12-31,1.82,$-0.85,0.0
2023-09-30,1.16,$-0.91,0.0
2023-06-30,0.98,$-1.02,0.0
2023-03-31,1.45,$-1.05,0.0
2022-12-31,2.0,$-2.23,0.0
