Annexon Price to Free Cash Flow Ratio Historical Data,Annexon Price to Free Cash Flow Ratio Historical Data,Annexon Price to Free Cash Flow Ratio Historical Data,Annexon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.49,,0.0
2024-12-31,5.13,$-0.86,0.0
2024-09-30,5.92,$-0.89,0.0
2024-06-30,4.9,$-1.06,0.0
2024-03-31,7.17,$-1.39,0.0
2023-12-31,4.54,$-1.60,0.0
2023-09-30,2.36,$-2.16,0.0
2023-06-30,3.52,$-1.50,0.0
2023-03-31,3.85,$-1.77,0.0
2022-12-31,5.17,$-2.25,0.0
2022-09-30,6.18,$-2.15,0.0
2022-06-30,3.77,$-3.23,0.0
2022-03-31,2.73,$-3.12,0.0
2021-12-31,11.49,$-2.81,0.0
2021-09-30,18.61,$-4.01,0.0
2021-06-30,22.51,$-4.41,0.0
