UMH Properties Price to Free Cash Flow Ratio Historical Data,UMH Properties Price to Free Cash Flow Ratio Historical Data,UMH Properties Price to Free Cash Flow Ratio Historical Data,UMH Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.51,,0.0
2024-12-31,18.88,$-0.72,0.0
2024-09-30,19.45,$-0.53,0.0
2024-06-30,15.64,$-0.34,0.0
2024-03-31,15.67,$-0.38,0.0
2023-12-31,14.57,$-0.66,0.0
2023-09-30,13.15,$-1.92,0.0
2023-06-30,14.8,$-2.93,0.0
2023-03-31,13.52,$-3.30,0.0
2022-12-31,14.55,$-3.22,0.0
2022-09-30,14.43,$-2.01,0.0
2022-06-30,15.62,$-1.16,0.0
2022-03-31,21.53,$-0.84,0.0
2021-12-31,23.72,$-0.78,0.0
2021-09-30,19.71,$-0.95,0.0
2021-06-30,18.63,$-1.05,0.0
2021-03-31,16.22,$-1.03,0.0
2020-12-31,12.39,$-0.87,0.0
2020-09-30,11.19,$-0.90,0.0
2020-06-30,10.54,$-1.80,0.0
2020-03-31,8.71,$-2.06,0.0
2019-12-31,12.48,$-2.04,0.0
2019-09-30,11.04,$-2.71,0.0
2019-06-30,9.73,$-1.81,0.0
2019-03-31,10.89,$-2.17,0.0
2018-12-31,9.04,$-2.15,0.0
2018-09-30,11.77,$-2.02,0.0
2018-06-30,11.42,$-1.77,0.0
2018-03-31,9.85,$-1.37,0.0
2017-12-31,10.79,$-2.58,0.0
2017-09-30,11.13,$-2.07,0.0
2017-06-30,12.06,$-2.42,0.0
2017-03-31,10.64,$-2.41,0.0
2016-12-31,10.4,$-1.28,0.0
2016-09-30,8.12,$-2.52,0.0
2016-06-30,7.55,$-3.80,0.0
2016-03-31,6.54,$-4.11,0.0
2015-12-31,6.54,$-4.03,0.0
2015-09-30,5.9,$-2.68,0.0
2015-06-30,6.1,$-1.64,0.0
2015-03-31,6.16,$-1.15,0.0
2014-12-31,5.73,$-1.46,0.0
2014-09-30,5.6,$-1.61,0.0
2014-06-30,5.81,$-1.17,0.0
2014-03-31,5.56,$-1.37,0.0
2013-12-31,5.26,$-5.10,0.0
2013-09-30,5.44,$-5.14,0.0
2013-06-30,5.53,$-7.50,0.0
2013-03-31,5.44,$-7.15,0.0
2012-12-31,5.38,$-3.21,0.0
2012-09-30,6.12,$-3.03,0.0
2012-06-30,5.4,$-0.54,0.0
2012-03-31,5.42,$-1.32,0.0
2011-12-31,4.53,$-1.07,0.0
2011-09-30,4.34,$-2.68,0.0
2011-06-30,5.02,$-2.80,0.0
2011-03-31,4.58,$-3.05,0.0
2010-12-31,4.62,$-3.01,0.0
2010-09-30,4.78,$-1.08,0.0
2010-06-30,4.41,$-0.78,0.0
2010-03-31,3.51,$0.61,5.73
2009-12-31,3.57,$0.63,5.63
