Genesis Energy Price to Free Cash Flow Ratio Historical Data,Genesis Energy Price to Free Cash Flow Ratio Historical Data,Genesis Energy Price to Free Cash Flow Ratio Historical Data,Genesis Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.05,,0.0
2024-12-31,10.11,$-1.50,0.0
2024-09-30,13.18,$-1.93,0.0
2024-06-30,13.95,$-1.73,0.0
2024-03-31,10.71,$-0.92,0.0
2023-12-31,11.02,$-0.80,0.0
2023-09-30,9.69,$-0.31,0.0
2023-06-30,8.83,$-0.48,0.0
2023-03-31,10.26,$-0.47,0.0
2022-12-31,9.18,$-0.40,0.0
2022-09-30,8.17,$0.01,609.64
2022-06-30,7.02,$-0.18,0.0
2022-03-31,10.11,$-0.22,0.0
2021-12-31,9.12,$0.30,30.08
2021-09-30,8.38,$0.04,225.26
2021-06-30,9.62,$1.38,6.96
2021-03-31,7.62,$1.32,5.77
2020-12-31,4.94,$1.43,3.45
2020-09-30,3.46,$1.57,2.2
2020-06-30,5.44,$1.43,3.8
2020-03-31,2.88,$1.53,1.89
2019-12-31,14.62,$1.80,8.14
2019-09-30,14.92,$4.37,3.41
2019-06-30,14.86,$4.83,3.08
2019-03-31,15.43,$4.64,3.32
2018-12-31,11.92,$4.12,2.89
2018-09-30,14.97,$2.35,6.36
2018-06-30,13.48,$0.92,14.61
2018-03-31,11.83,$1.46,8.09
2017-12-31,13.13,$1.31,10.05
2017-09-30,15.15,$0.09,164.86
2017-06-30,17.82,$0.44,40.71
2017-03-31,17.8,$-0.85,0.0
2016-12-31,19.4,$-1.56,0.0
2016-09-30,20.06,$-1.58,0.0
2016-06-30,19.89,$-1.57,0.0
2016-03-31,16.15,$-2.18,0.0
2015-12-31,18.24,$-1.97,0.0
2015-09-30,18.73,$-1.78,0.0
2015-06-30,21.15,$-1.85,0.0
2015-03-31,22.37,$-2.21,0.0
2014-12-31,19.92,$-1.69,0.0
2014-09-30,24.42,$-2.79,0.0
2014-06-30,25.73,$-3.81,0.0
2014-03-31,24.64,$-2.30,0.0
2013-12-31,23.66,$-2.42,0.0
2013-09-30,22.3,$-0.85,0.0
2013-06-30,22.86,$0.18,127.4
2013-03-31,21.04,$0.83,25.31
2012-12-31,15.4,$0.56,27.66
2012-09-30,14.29,$0.47,30.15
2012-06-30,12.17,$0.79,15.49
2012-03-31,12.68,$0.29,44.49
2011-12-31,11.39,$0.54,21.06
2011-09-30,9.67,$1.69,5.72
2011-06-30,10.71,$1.83,5.84
2011-03-31,10.96,$1.56,7.04
2010-12-31,10.08,$1.95,5.16
2010-09-30,8.84,$1.51,5.84
2010-06-30,7.07,$1.85,3.83
2010-03-31,7.06,$2.17,3.26
2009-12-31,6.73,$1.54,4.38
