Maui Land & Pineapple Price to Free Cash Flow Ratio Historical Data,Maui Land & Pineapple Price to Free Cash Flow Ratio Historical Data,Maui Land & Pineapple Price to Free Cash Flow Ratio Historical Data,Maui Land & Pineapple Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.15,,0.0
2024-09-30,22.45,$-0.17,0.0
2024-06-30,22.05,$-0.16,0.0
2024-03-31,21.66,$-0.14,0.0
2023-12-31,15.89,$-0.10,0.0
2023-09-30,13.25,$-0.04,0.0
2023-06-30,14.24,$-0.32,0.0
2023-03-31,11.96,$0.22,55.45
2022-12-31,9.42,$0.32,29.18
2022-09-30,9.21,$0.36,25.94
2022-06-30,9.47,$0.60,15.78
2022-03-31,11.11,$0.46,24.07
2021-12-31,9.96,$0.29,34.75
2021-09-30,10.36,$0.33,31.23
2021-06-30,10.73,$0.39,27.47
2021-03-31,11.55,$0.01,0.0
2020-12-31,11.53,$0.11,104.91
2020-09-30,10.82,$0.05,220.82
2020-06-30,11.1,$0.09,120.26
2020-03-31,10.93,$0.11,102.34
2019-12-31,11.25,$0.06,203.8
2019-09-30,10.88,$0.02,618.18
2019-06-30,10.29,$-0.02,0.0
2019-03-31,11.43,$0.03,399.65
2018-12-31,9.92,$0.03,331.77
2018-09-30,12.8,$0.15,86.96
2018-06-30,11.2,$0.15,77.19
2018-03-31,11.65,$0.16,71.47
2017-12-31,17.3,$0.44,39.35
2017-09-30,13.95,$1.28,10.93
2017-06-30,20.3,$1.35,14.99
2017-03-31,11.75,$2.08,5.65
2016-12-31,7.2,$1.78,4.05
2016-09-30,6.64,$0.81,8.17
2016-06-30,7.22,$1.34,5.39
2016-03-31,5.85,$0.55,10.64
2015-12-31,5.46,$0.57,9.64
2015-09-30,5.27,$0.57,9.26
2015-06-30,5.68,$-0.09,0.0
2015-03-31,5.91,$0.06,106.1
2014-12-31,6.05,$-0.03,0.0
2014-09-30,5.7,$0.07,82.49
2014-06-30,6.86,$0.02,423.46
2014-03-31,6.42,$0.04,150.7
2013-12-31,6.09,$0.02,362.5
2013-09-30,4.04,$-0.14,0.0
2013-06-30,4.06,$-0.10,0.0
2013-03-31,4.02,$-0.28,0.0
2012-12-31,4.15,$-0.19,0.0
2012-09-30,2.3,$-0.15,0.0
2012-06-30,3.84,$-0.28,0.0
2012-03-31,4.03,$0.08,51.87
2011-12-31,4.17,$0.01,386.11
2011-09-30,4.4,$-0.06,0.0
2011-06-30,5.04,$-0.09,0.0
2011-03-31,5.7,$-0.92,0.0
2010-12-31,4.98,$-0.49,0.0
2010-09-30,4.63,$-0.96,0.0
2010-06-30,3.73,$0.07,54.14
2010-03-31,6.24,$-0.07,0.0
2009-12-31,5.55,$-1.70,0.0
