SuperCom Price to Free Cash Flow Ratio Historical Data,SuperCom Price to Free Cash Flow Ratio Historical Data,SuperCom Price to Free Cash Flow Ratio Historical Data,SuperCom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.32,,0.0
2024-06-30,4.0,$-15.99,0.0
2024-03-31,3.32,$-16.96,0.0
2023-12-31,7.72,$-16.96,0.0
2023-09-30,8.38,$-51.84,0.0
2023-06-30,19.92,$-25.57,0.0
2023-03-31,28.8,$-51.84,0.0
2022-12-31,35.6,$-51.84,0.0
2022-09-30,56.8,$-84.70,0.0
2022-06-30,65.52,$-69.16,0.0
2022-03-31,114.96,$-84.70,0.0
2021-12-31,111.0,$-84.70,0.0
2021-09-30,199.0,$65.44,3.04
2021-06-30,270.0,$60.52,4.46
2021-03-31,322.0,0,0.0
2020-06-30,320.0,$11.77,27.19
2019-06-30,216.0,$-65.44,0.0
2018-12-31,276.0,$-103.36,0.0
2018-09-30,358.0,$-46.15,0.0
2018-06-30,468.0,$-37.92,0.0
2018-03-31,546.0,$-46.15,0.0
2017-12-31,782.0,$-46.15,0.0
2017-09-30,700.0,$-171.87,0.0
2017-06-30,638.0,$-93.33,0.0
2017-03-31,572.0,$-171.87,0.0
2016-12-31,678.0,$-171.87,0.0
2016-09-30,686.0,$-83.92,0.0
2016-06-30,760.0,$-158.22,0.0
2016-03-31,796.0,$-83.92,0.0
2015-12-31,1044.0,$-83.92,0.0
2015-09-30,1600.0,$90.33,17.71
2015-06-30,2536.0,$101.06,25.09
2015-03-31,1678.0,$90.33,18.58
2014-12-31,2042.0,$90.33,22.61
2014-09-30,2470.0,$-14.38,0.0
2014-06-30,2054.0,$-49.35,0.0
2014-03-31,1274.0,$-14.38,0.0
2013-12-31,924.0,$-14.38,0.0
2013-09-30,958.0,0,0.0
2013-06-30,442.0,0,0.0
2013-03-31,340.0,0,0.0
2012-12-31,119.0,0,0.0
2012-09-30,119.0,$-11.11,0.0
2012-06-30,127.5,$-11.11,0.0
2012-03-31,136.0,$-11.11,0.0
2011-12-31,76.5,$-11.11,0.0
2011-09-30,102.0,$-129.15,0.0
2011-06-30,102.0,$-129.15,0.0
2011-03-31,59.5,$-129.15,0.0
2010-12-31,59.5,$-129.15,0.0
2010-09-30,85.0,0,0.0
2010-06-30,136.0,0,0.0
2010-03-31,127.5,0,0.0
2009-12-31,170.0,0,0.0
