Verde Clean Fuels Price to Free Cash Flow Ratio Historical Data,Verde Clean Fuels Price to Free Cash Flow Ratio Historical Data,Verde Clean Fuels Price to Free Cash Flow Ratio Historical Data,Verde Clean Fuels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.75,,0.0
2024-09-30,3.99,$-1.67,0.0
2024-06-30,4.14,$-1.59,0.0
2024-03-31,4.0,$-1.49,0.0
2023-12-31,2.36,$-1.49,0.0
2023-09-30,3.77,$-1.10,0.0
2023-06-30,6.51,$-0.78,0.0
2023-03-31,6.81,$-0.46,0.0
2022-12-31,9.11,0,0.0
2022-09-30,10.09,$-0.13,0.0
