Exagen Price to Free Cash Flow Ratio Historical Data,Exagen Price to Free Cash Flow Ratio Historical Data,Exagen Price to Free Cash Flow Ratio Historical Data,Exagen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.69,,0.0
2024-12-31,4.1,$-0.76,0.0
2024-09-30,3.09,$-0.30,0.0
2024-06-30,1.82,$-0.34,0.0
2024-03-31,1.59,$-0.79,0.0
2023-12-31,1.99,$-0.86,0.0
2023-09-30,2.42,$-1.69,0.0
2023-06-30,2.9,$-1.97,0.0
2023-03-31,2.43,$-2.14,0.0
2022-12-31,2.4,$-2.13,0.0
2022-09-30,2.71,$-2.28,0.0
2022-06-30,5.74,$-2.18,0.0
2022-03-31,8.03,$-1.64,0.0
2021-12-31,11.63,$-1.42,0.0
2021-09-30,13.6,$-1.23,0.0
2021-06-30,14.99,$-1.06,0.0
2021-03-31,17.5,$-1.23,0.0
2020-12-31,13.2,$-1.15,0.0
2020-09-30,10.84,$0.29,37.3
2020-06-30,12.41,$-3.40,0.0
