Crown Castle Price to Free Cash Flow Ratio Historical Data,Crown Castle Price to Free Cash Flow Ratio Historical Data,Crown Castle Price to Free Cash Flow Ratio Historical Data,Crown Castle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,104.59,,26.38
2024-12-31,90.76,$3.97,22.89
2024-09-30,116.75,$3.75,31.16
2024-06-30,94.9,$3.26,29.14
2024-03-31,101.2,$3.95,25.6
2023-12-31,108.55,$3.92,27.68
2023-09-30,85.56,$3.78,22.61
2023-06-30,104.27,$4.19,24.86
2023-03-31,120.83,$3.59,33.7
2022-12-31,121.01,$3.61,33.49
2022-09-30,127.51,$3.49,36.55
2022-06-30,147.23,$3.57,41.2
2022-03-31,159.92,$3.58,44.65
2021-12-31,179.31,$3.59,49.88
2021-09-30,147.77,$4.11,35.98
2021-06-30,165.18,$3.82,43.3
2021-03-31,144.74,$3.53,41.05
2020-12-31,132.75,$3.37,39.42
2020-09-30,137.66,$2.63,52.37
2020-06-30,137.34,$2.29,59.88
2020-03-31,117.62,$1.95,60.33
2019-12-31,114.82,$1.53,74.88
2019-09-30,111.28,$1.39,79.8
2019-06-30,103.5,$1.55,66.99
2019-03-31,100.78,$1.71,58.92
2018-12-31,84.76,$1.83,46.23
2018-09-30,86.03,$2.00,43.05
2018-06-30,82.55,$1.96,42.14
2018-03-31,83.05,$1.83,45.37
2017-12-31,83.32,$2.13,39.15
2017-09-30,74.33,$2.05,36.26
2017-06-30,73.81,$2.13,34.62
2017-03-31,68.95,$2.45,28.19
2016-12-31,62.68,$2.68,23.41
2016-09-30,67.31,$2.79,24.09
2016-06-30,71.78,$2.71,26.5
2016-03-31,60.64,$2.62,23.1
2015-12-31,59.98,$2.65,22.64
2015-09-30,54.16,$2.46,21.97
2015-06-30,54.57,$2.75,19.88
2015-03-31,55.55,$2.62,21.19
2014-12-31,52.46,$2.53,20.77
2014-09-30,53.1,$2.53,21.02
2014-06-30,48.97,$2.36,20.79
2014-03-31,48.65,$2.20,22.09
2013-12-31,48.42,$2.13,22.78
2013-09-30,48.16,$1.87,25.78
2013-06-30,47.74,$1.61,29.57
2013-03-31,45.92,$1.38,33.3
2012-12-31,47.58,$1.14,41.85
2012-09-30,42.27,$1.19,35.55
2012-06-30,38.68,$1.02,38.05
2012-03-31,35.17,$1.11,31.56
2011-12-31,29.54,$1.03,28.58
2011-09-30,26.82,$1.07,25.01
2011-06-30,26.9,$1.34,20.11
2011-03-31,28.06,$1.40,20.07
2010-12-31,28.9,$1.31,22.08
2010-09-30,29.11,$1.30,22.44
2010-06-30,24.57,$1.27,19.42
2010-03-31,25.21,$1.28,19.76
2009-12-31,25.74,$1.39,18.55
