Wheels Up Experience Price to Free Cash Flow Ratio Historical Data,Wheels Up Experience Price to Free Cash Flow Ratio Historical Data,Wheels Up Experience Price to Free Cash Flow Ratio Historical Data,Wheels Up Experience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.08,,0.0
2024-12-31,1.65,$-0.19,0.0
2024-09-30,2.42,$10.50,0.23
2024-06-30,1.89,$11.20,0.17
2024-03-31,2.87,$3.52,0.81
2023-12-31,3.43,$-4.83,0.0
2023-09-30,2.07,$-13.18,0.0
2023-06-30,1.17,$-19.52,0.0
2023-03-31,0.63,$-12.53,0.0
2022-12-31,1.03,$-13.47,0.0
2022-09-30,1.15,$-4.68,0.0
2022-06-30,1.95,$-6.18,0.0
