Magnachip Semiconductor Price to Free Cash Flow Ratio Historical Data,Magnachip Semiconductor Price to Free Cash Flow Ratio Historical Data,Magnachip Semiconductor Price to Free Cash Flow Ratio Historical Data,Magnachip Semiconductor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.93,,0.0
2024-12-31,4.02,$-0.47,0.0
2024-09-30,4.67,$-0.77,0.0
2024-06-30,4.87,$-0.33,0.0
2024-03-31,5.58,$-0.54,0.0
2023-12-31,7.5,$-0.24,0.0
2023-09-30,8.31,$-1.31,0.0
2023-06-30,11.18,$-1.00,0.0
2023-03-31,9.28,$-0.47,0.0
2022-12-31,9.39,$-0.39,0.0
2022-09-30,10.24,$1.70,6.01
2022-06-30,14.53,$1.60,9.09
2022-03-31,16.91,$0.95,17.82
2021-12-31,20.97,$1.19,17.56
2021-09-30,17.76,$-1.02,0.0
2021-06-30,23.86,$-1.53,0.0
2021-03-31,24.9,$-0.62,0.0
2020-12-31,13.52,$-0.61,0.0
2020-09-30,13.7,$1.18,11.65
2020-06-30,10.3,$1.78,5.78
2020-03-31,11.05,$1.99,5.57
2019-12-31,11.61,$0.81,14.36
2019-09-30,10.14,$0.57,17.94
2019-06-30,10.35,$0.11,94.09
2019-03-31,7.4,$-0.00,0.0
2018-12-31,6.21,$0.35,17.88
2018-09-30,9.9,$-0.05,0.0
2018-06-30,10.25,$0.42,24.63
2018-03-31,9.6,$-0.46,0.0
2017-12-31,9.95,$-1.16,0.0
2017-09-30,11.35,$-0.52,0.0
2017-06-30,9.8,$-1.15,0.0
2017-03-31,9.55,$-0.67,0.0
2016-12-31,6.2,$-0.30,0.0
2016-09-30,8.34,$0.62,13.41
2016-06-30,5.66,$0.26,21.97
2016-03-31,5.44,$-0.56,0.0
2015-12-31,5.29,$-0.19,0.0
2015-09-30,6.59,$-2.37,0.0
2015-06-30,7.72,$-2.29,0.0
2015-03-31,5.47,$-0.40,0.0
2014-12-31,12.99,$-1.61,0.0
2014-09-30,11.7,$-0.25,0.0
2014-06-30,14.1,$0.32,44.06
2014-03-31,13.94,$-0.86,0.0
2013-12-31,19.5,$0.75,26.06
2013-09-30,21.53,$0.96,22.38
2013-06-30,18.27,$1.32,13.83
2013-03-31,17.31,$1.36,12.71
2012-12-31,15.92,$1.63,9.75
2012-09-30,11.8,$1.25,9.47
2012-06-30,9.53,$2.00,4.76
2012-03-31,12.0,$1.85,6.48
2011-12-31,7.48,$1.45,5.16
