Complete Solaria Price to Free Cash Flow Ratio Historical Data,Complete Solaria Price to Free Cash Flow Ratio Historical Data,Complete Solaria Price to Free Cash Flow Ratio Historical Data,Complete Solaria Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.51,,0.0
2024-09-30,2.81,$-1.63,0.0
2024-06-30,1.12,$-1.58,0.0
2024-03-31,0.6,$-1.90,0.0
2023-12-31,1.61,$-2.45,0.0
2023-09-30,2.06,$-1.33,0.0
2023-06-30,10.6,$-2.37,0.0
2023-03-31,10.32,$-2.11,0.0
2022-12-31,10.1,$-1.47,0.0
2022-09-30,9.91,$-1.34,0.0
2022-06-30,9.82,$-0.11,0.0
2022-03-31,9.8,$-0.26,0.0
