Middlesex Water Price to Free Cash Flow Ratio Historical Data,Middlesex Water Price to Free Cash Flow Ratio Historical Data,Middlesex Water Price to Free Cash Flow Ratio Historical Data,Middlesex Water Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,59.46,,0.0
2024-12-31,52.63,$-0.89,0.0
2024-09-30,64.91,$-0.92,0.0
2024-06-30,51.72,$-1.50,0.0
2024-03-31,51.66,$-2.05,0.0
2023-12-31,64.19,$-2.10,0.0
2023-09-30,64.49,$-2.32,0.0
2023-06-30,78.21,$-2.18,0.0
2023-03-31,75.43,$-2.02,0.0
2022-12-31,75.68,$-1.69,0.0
2022-09-30,74.01,$-1.44,0.0
2022-06-30,83.8,$-1.52,0.0
2022-03-31,100.19,$-2.07,0.0
2021-12-31,114.26,$-2.63,0.0
2021-09-30,97.35,$-3.49,0.0
2021-06-30,77.21,$-3.39,0.0
2021-03-31,74.4,$-3.18,0.0
2020-12-31,68.0,$-2.97,0.0
2020-09-30,58.1,$-2.80,0.0
2020-06-30,62.56,$-3.11,0.0
2020-03-31,55.75,$-3.39,0.0
2019-12-31,58.73,$-3.15,0.0
2019-09-30,59.76,$-2.84,0.0
2019-06-30,54.51,$-2.48,0.0
2019-03-31,51.31,$-1.80,0.0
2018-12-31,48.68,$-1.59,0.0
2018-09-30,43.96,$-1.06,0.0
2018-06-30,38.1,$-0.95,0.0
2018-03-31,32.98,$-0.55,0.0
2017-12-31,35.65,$-0.45,0.0
2017-09-30,34.9,$-0.20,0.0
2017-06-30,35.0,$0.13,277.54
2017-03-31,32.46,$-0.33,0.0
2016-12-31,37.49,$-0.02,0.0
2016-09-30,30.59,$0.74,41.16
2016-06-30,37.46,$0.89,42.05
2016-03-31,26.5,$1.50,17.65
2015-12-31,22.64,$1.56,14.53
2015-09-30,20.17,$0.81,24.97
2015-06-30,18.93,$0.75,25.26
2015-03-31,18.93,$0.76,25.0
2014-12-31,19.02,$0.61,30.93
2014-09-30,16.03,$0.85,18.79
2014-06-30,17.16,$0.81,21.23
2014-03-31,17.51,$0.75,23.24
2013-12-31,16.65,$0.85,19.54
2013-09-30,16.85,$0.70,24.0
2013-06-30,15.56,$0.67,23.28
2013-03-31,15.1,$0.81,18.58
2012-12-31,14.99,$0.50,29.99
2012-09-30,14.53,$0.20,73.97
2012-06-30,14.27,$0.09,156.68
2012-03-31,14.05,$-0.20,0.0
2011-12-31,13.74,$-0.05,0.0
2011-09-30,12.45,$0.10,120.25
2011-06-30,13.41,$0.09,148.85
2011-03-31,13.0,$-0.11,0.0
2010-12-31,12.99,$-0.27,0.0
2010-09-30,11.8,$-0.11,0.0
2010-06-30,10.99,$-0.08,0.0
2010-03-31,11.71,$-0.07,0.0
2009-12-31,11.97,$-0.12,0.0
