Nature's Miracle Holding Price to Free Cash Flow Ratio Historical Data,Nature's Miracle Holding Price to Free Cash Flow Ratio Historical Data,Nature's Miracle Holding Price to Free Cash Flow Ratio Historical Data,Nature's Miracle Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-01-14,1.53,,0.0
2024-09-30,0.14,$-2.05,0.0
2024-06-30,0.55,$-1.31,0.0
2024-03-31,0.94,$-0.42,0.0
2023-12-31,11.0,0,0.0
2023-09-30,10.85,$-1.10,0.0
