AMREP Price to Free Cash Flow Ratio Historical Data,AMREP Price to Free Cash Flow Ratio Historical Data,AMREP Price to Free Cash Flow Ratio Historical Data,AMREP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.25,,7.95
2025-01-31,30.36,$2.67,11.35
2024-10-31,30.41,$3.53,8.62
2024-07-31,25.46,$3.57,7.12
2024-04-30,20.28,$1.92,10.57
2024-01-31,20.38,$2.04,9.98
2023-10-31,16.69,$1.70,9.8
2023-07-31,18.01,$1.49,12.11
2023-04-30,13.9,$1.18,11.79
2023-01-31,13.62,$1.66,8.19
2022-10-31,12.1,$1.38,8.78
2022-07-31,14.1,$2.61,5.41
2022-04-30,12.86,$1.97,6.52
2022-01-31,12.0,$1.45,8.28
2021-10-31,14.02,$1.95,7.18
2021-07-31,13.42,$1.27,10.59
2021-04-30,10.7,$1.62,6.6
2021-01-31,8.0,$0.21,38.41
2020-10-31,6.51,$0.23,28.84
2020-07-31,4.46,$-0.43,0.0
2020-04-30,4.84,$0.09,52.1
2020-01-31,6.1,$0.21,28.43
2019-10-31,5.87,$0.03,188.75
2019-07-31,6.1,$0.25,24.67
2019-04-30,5.58,$0.07,77.82
2019-01-31,6.22,$-0.18,0.0
2018-10-31,6.66,$-0.22,0.0
2018-07-31,7.36,$-0.01,0.0
2018-04-30,7.25,$0.06,122.67
2018-01-31,7.62,$0.50,15.19
2017-10-31,7.18,$0.69,10.4
2017-07-31,6.88,$1.03,6.7
2017-04-30,6.01,$1.26,4.76
2017-01-31,7.04,$1.50,4.69
2016-10-31,7.39,$1.42,5.2
2016-07-31,5.61,$1.16,4.83
2016-04-30,4.45,$0.33,13.44
2016-01-31,3.92,$-0.36,0.0
2015-10-31,4.4,$0.03,164.18
2015-07-31,5.15,$0.40,12.8
2015-04-30,5.11,$1.12,4.58
2015-01-31,3.76,$1.82,2.07
2014-10-31,3.87,$1.15,3.38
2014-07-31,5.72,$1.97,2.91
2014-04-30,5.44,$0.61,8.97
2014-01-31,7.23,$0.23,31.57
2013-10-31,8.0,$1.03,7.74
2013-07-31,10.03,$-1.92,0.0
2013-04-30,9.0,$-2.11,0.0
2013-01-31,9.96,$-2.05,0.0
2012-10-31,6.5,$-3.23,0.0
2012-07-31,6.12,$-0.85,0.0
2012-04-30,7.77,$0.79,9.81
2012-01-31,6.0,$0.10,59.58
2011-10-31,7.46,$0.98,7.59
2011-07-31,8.94,$0.93,9.59
2011-04-30,10.0,$0.82,12.25
2011-01-31,12.83,$1.63,7.89
2010-10-31,9.99,$0.54,18.42
2010-07-31,11.97,$0.57,21.06
2010-04-30,14.5,$0.97,15.0
2010-01-31,13.7,$2.46,5.57
2009-10-31,12.17,$0.13,97.28
