Integra Resources Price to Free Cash Flow Ratio Historical Data,Integra Resources Price to Free Cash Flow Ratio Historical Data,Integra Resources Price to Free Cash Flow Ratio Historical Data,Integra Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.24,,0.0
2024-09-30,0.98,$-0.38,0.0
2024-06-30,0.92,$-0.39,0.0
2024-03-31,0.71,$-0.40,0.0
2023-12-31,1.06,$-0.49,0.0
2023-09-30,0.84,$-0.49,0.0
2023-06-30,1.1,$-0.48,0.0
2023-03-31,0.55,$-0.62,0.0
2022-12-31,0.63,$-0.65,0.0
2022-09-30,0.53,$-0.83,0.0
2022-06-30,1.04,$-1.15,0.0
2022-03-31,1.43,$-1.31,0.0
2021-12-31,2.15,$-1.39,0.0
2021-09-30,2.28,$-1.54,0.0
