Gaxos.ai Price to Free Cash Flow Ratio Historical Data,Gaxos.ai Price to Free Cash Flow Ratio Historical Data,Gaxos.ai Price to Free Cash Flow Ratio Historical Data,Gaxos.ai Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.21,,0.0
2024-09-30,1.59,$-2.54,0.0
2024-06-30,2.78,$-3.32,0.0
2024-03-31,6.14,$-3.19,0.0
2023-12-31,0.34,$-3.07,0.0
