Leidos Holdings Price to Free Cash Flow Ratio Historical Data,Leidos Holdings Price to Free Cash Flow Ratio Historical Data,Leidos Holdings Price to Free Cash Flow Ratio Historical Data,Leidos Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,134.85,,14.73
2024-12-31,144.06,$9.15,15.74
2024-09-30,162.57,$9.19,17.7
2024-06-30,145.14,$9.97,14.56
2024-03-31,130.08,$8.27,15.73
2023-12-31,107.09,$6.94,15.43
2023-09-30,90.86,$5.86,15.49
2023-06-30,86.91,$5.51,15.76
2023-03-31,90.03,$4.84,18.6
2022-12-31,102.48,$6.30,16.27
2022-09-30,84.93,$7.03,12.09
2022-06-30,97.41,$5.72,17.02
2022-03-31,104.09,$5.48,18.99
2021-12-31,85.37,$6.50,13.14
2021-09-30,91.94,$4.46,20.61
2021-06-30,96.32,$4.65,20.72
2021-03-31,91.44,$7.28,12.56
2020-12-31,99.48,$8.08,12.32
2020-09-30,84.09,$8.39,10.02
2020-06-30,88.02,$7.97,11.05
2020-03-31,85.82,$6.54,13.13
2019-12-31,91.32,$6.67,13.69
2019-09-30,79.82,$7.69,10.38
2019-06-30,73.93,$6.41,11.53
2019-03-31,59.09,$6.91,8.56
2018-12-31,48.36,$4.54,10.65
2018-09-30,63.09,$4.81,13.11
2018-06-30,53.58,$4.15,12.92
2018-03-31,59.08,$3.50,16.9
2017-12-31,58.06,$2.94,19.74
2017-09-30,52.99,$3.46,15.3
2017-06-30,45.99,$3.85,11.93
2017-03-31,45.24,$3.76,12.03
2016-12-31,44.97,$4.07,11.06
2016-09-30,37.82,$3.73,10.15
2016-06-30,30.66,$5.39,5.69
2016-03-31,32.01,$6.49,4.93
2015-12-31,35.55,$6.09,5.83
2015-09-30,25.77,$5.10,5.06
2015-06-30,24.99,$3.80,6.58
2015-03-31,25.77,$3.27,7.89
2015-01-31,25.43,$1.18,21.63
2014-10-31,22.29,$3.62,6.16
2014-07-31,22.31,$1.84,12.12
2014-04-30,22.3,$2.27,9.83
2014-01-31,26.92,$3.98,6.76
2013-10-31,27.77,$1.38,20.1
2013-07-31,35.81,$0.89,40.36
2013-04-30,32.32,$1.17,27.55
2013-01-31,25.95,$-2.32,0.0
2012-10-31,23.34,$-2.17,0.0
2012-07-31,24.31,$2.76,8.81
2012-04-30,25.28,$1.75,14.45
2012-01-31,26.23,$0.87,30.08
2011-10-31,25.35,$8.06,3.15
2011-07-31,32.7,$6.52,5.01
2011-04-30,35.49,$6.45,5.5
2011-01-31,33.8,$12.93,2.61
2010-10-31,31.7,$5.74,5.52
2010-07-31,33.92,$4.66,7.28
2010-04-30,35.51,$4.52,7.86
2010-01-31,37.39,$4.91,7.62
2009-10-31,36.12,$4.91,7.36
