Hudson Pacific Properties Price to Free Cash Flow Ratio Historical Data,Hudson Pacific Properties Price to Free Cash Flow Ratio Historical Data,Hudson Pacific Properties Price to Free Cash Flow Ratio Historical Data,Hudson Pacific Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,0.0
2024-12-31,3.03,$-0.26,0.0
2024-09-30,4.78,$4.43,1.08
2024-06-30,4.81,$4.81,1.0
2024-03-31,6.38,$4.76,1.34
2023-12-31,9.14,$5.47,1.67
2023-09-30,6.53,$1.24,5.25
2023-06-30,4.14,$1.59,2.61
2023-03-31,6.37,$1.35,4.72
2022-12-31,8.95,$0.79,11.31
2022-09-30,9.83,$-0.40,0.0
2022-06-30,13.07,$-0.99,0.0
2022-03-31,24.05,$-0.84,0.0
2021-12-31,21.22,$-0.98,0.0
2021-09-30,22.32,$-4.05,0.0
2021-06-30,23.42,$-4.45,0.0
2021-03-31,22.64,$-4.48,0.0
2020-12-31,19.87,$-4.53,0.0
2020-09-30,17.95,$-0.76,0.0
2020-06-30,20.38,$0.40,51.21
2020-03-31,20.35,$0.42,47.95
2019-12-31,29.83,$0.32,92.98
2019-09-30,26.33,$-1.54,0.0
2019-06-30,25.98,$-1.45,0.0
2019-03-31,26.69,$-1.58,0.0
2018-12-31,22.37,$-0.29,0.0
2018-09-30,24.98,$2.61,9.56
2018-06-30,26.84,$1.69,15.86
2018-03-31,24.47,$0.30,81.69
2017-12-31,25.56,$-0.36,0.0
2017-09-30,24.85,$-3.60,0.0
2017-06-30,25.14,$-6.80,0.0
2017-03-31,25.29,$-4.44,0.0
2016-12-31,25.21,$-2.63,0.0
2016-09-30,23.68,$-0.72,0.0
2016-06-30,20.89,$3.06,6.82
2016-03-31,20.57,$-17.55,0.0
2015-12-31,19.87,$-18.88,0.0
2015-09-30,20.19,$-19.38,0.0
2015-06-30,19.81,$-19.95,0.0
2015-03-31,23.08,$-1.15,0.0
2014-12-31,20.82,$-2.33,0.0
2014-09-30,17.01,$-1.93,0.0
2014-06-30,17.39,$-7.93,0.0
2014-03-31,15.75,$-6.94,0.0
2013-12-31,14.85,$-6.93,0.0
2013-09-30,13.14,$-11.83,0.0
2013-06-30,14.28,$-7.32,0.0
2013-03-31,14.52,$-9.40,0.0
2012-12-31,13.98,$-9.05,0.0
2012-09-30,12.2,$-5.56,0.0
2012-06-30,11.41,$-5.66,0.0
2012-03-31,9.84,$-3.45,0.0
2011-12-31,9.13,$-3.35,0.0
2011-09-30,7.43,$1.24,5.98
2011-06-30,9.83,$0.27,36.66
2011-03-31,9.23,$0.36,25.59
