American Well Price to Free Cash Flow Ratio Historical Data,American Well Price to Free Cash Flow Ratio Historical Data,American Well Price to Free Cash Flow Ratio Historical Data,American Well Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.8,,0.0
2024-12-31,7.25,$-9.50,0.0
2024-09-30,9.48,$-11.44,0.0
2024-06-30,0.32,$-11.70,0.0
2024-03-31,0.81,$-13.24,0.0
2023-12-31,1.49,$-11.51,0.0
2023-09-30,1.17,$-11.96,0.0
2023-06-30,2.1,$-12.91,0.0
2023-03-31,2.36,$-12.71,0.0
2022-12-31,2.83,$-14.79,0.0
2022-09-30,3.59,$-14.93,0.0
2022-06-30,4.32,$-13.47,0.0
2022-03-31,4.21,$-12.44,0.0
2021-12-31,6.04,$-11.19,0.0
2021-09-30,9.11,$-4.28,0.0
2021-06-30,12.58,$-28.81,0.0
