Mill City Ventures III Price to Free Cash Flow Ratio Historical Data,Mill City Ventures III Price to Free Cash Flow Ratio Historical Data,Mill City Ventures III Price to Free Cash Flow Ratio Historical Data,Mill City Ventures III Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.82,,2.09
2024-12-31,1.95,$0.87,2.24
2024-09-30,2.25,$0.33,6.85
2024-06-30,2.98,$0.59,5.03
2024-03-31,2.65,$-0.16,0.0
