Fortive Price to Free Cash Flow Ratio Historical Data,Fortive Price to Free Cash Flow Ratio Historical Data,Fortive Price to Free Cash Flow Ratio Historical Data,Fortive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.66,,17.95
2024-12-31,75.0,$4.16,18.03
2024-09-30,78.85,$3.90,20.24
2024-06-30,73.95,$3.71,19.91
2024-03-31,85.84,$3.78,22.7
2023-12-31,73.41,$3.52,20.83
2023-09-30,73.85,$3.53,20.93
2023-06-30,74.39,$3.31,22.45
2023-03-31,67.75,$3.23,20.95
2022-12-31,63.79,$3.35,19.06
2022-09-30,57.82,$2.96,19.55
2022-06-30,53.87,$2.72,19.79
2022-03-31,60.29,$2.73,22.07
2021-12-31,75.41,$2.60,29.02
2021-09-30,69.69,$2.40,29.06
2021-06-30,68.81,$3.14,21.93
2021-03-31,69.63,$3.70,18.81
2020-12-31,69.73,$3.79,18.41
2020-09-30,62.9,$4.62,13.62
2020-06-30,55.79,$4.28,13.03
2020-03-31,45.45,$3.61,12.57
2019-12-31,62.85,$3.52,17.86
2019-09-30,56.35,$3.55,15.88
2019-06-30,66.94,$3.52,18.99
2019-03-31,68.82,$3.74,18.42
2018-12-31,55.46,$3.76,14.76
2018-09-30,69.02,$3.63,19.03
2018-06-30,63.15,$3.43,18.4
2018-03-31,63.43,$3.15,20.16
2017-12-31,59.15,$3.08,19.19
2017-09-30,57.81,$2.67,21.69
2017-06-30,51.68,$3.94,13.11
