Milestone Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Milestone Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Milestone Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Milestone Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.95,,0.0
2024-12-31,2.36,$-0.46,0.0
2024-09-30,1.52,$-0.56,0.0
2024-06-30,1.32,$-0.74,0.0
2024-03-31,1.79,$-0.94,0.0
2023-12-31,1.67,$-1.08,0.0
2023-09-30,3.1,$-1.16,0.0
2023-06-30,2.85,$-1.15,0.0
2023-03-31,3.94,$-1.24,0.0
2022-12-31,3.96,$-1.24,0.0
2022-09-30,9.19,$-1.24,0.0
2022-06-30,6.15,$-1.20,0.0
2022-03-31,6.42,$-0.82,0.0
2021-12-31,6.55,$-0.79,0.0
2021-09-30,5.71,$-0.81,0.0
2021-06-30,5.5,$-0.58,0.0
2021-03-31,5.79,$-1.29,0.0
2020-12-31,6.7,$-1.73,0.0
2020-09-30,7.32,$-3.25,0.0
2020-06-30,3.78,$-2.68,0.0
2020-03-31,1.84,$-4.00,0.0
