Kohl's Price to Free Cash Flow Ratio Historical Data,Kohl's Price to Free Cash Flow Ratio Historical Data,Kohl's Price to Free Cash Flow Ratio Historical Data,Kohl's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.54,,2.32
2024-10-31,17.87,$3.67,4.87
2024-07-31,20.42,$6.59,3.1
2024-04-30,22.07,$7.02,3.15
2024-01-31,23.3,$5.56,4.19
2023-10-31,19.97,$4.39,4.55
2023-07-31,24.7,$3.39,7.3
2023-04-30,18.7,$-1.58,0.0
2023-01-31,26.87,$-4.18,0.0
2022-10-31,24.43,$-7.39,0.0
2022-07-31,23.36,$-6.80,0.0
2022-04-30,45.9,$4.83,9.51
2022-01-31,46.91,$11.49,4.08
2021-10-31,37.95,$11.75,3.23
2021-07-31,39.54,$15.63,2.53
2021-04-30,45.45,$9.92,4.58
2021-01-31,34.0,$7.80,4.36
2020-10-31,16.43,$8.19,2.01
2020-07-31,14.69,$5.53,2.66
2020-04-30,14.25,$5.00,2.85
2020-01-31,31.68,$5.08,6.24
2019-10-31,37.46,$5.81,6.45
2019-07-31,38.85,$6.39,6.08
2019-04-30,50.58,$7.17,7.05
2019-01-31,48.4,$9.32,5.19
2018-10-31,52.85,$9.97,5.3
2018-07-31,51.16,$10.63,4.81
2018-04-30,42.69,$8.58,4.98
2018-01-31,44.09,$6.07,7.27
2017-10-31,28.11,$5.72,4.91
2017-07-31,27.46,$4.79,5.73
2017-04-30,25.55,$6.93,3.69
2017-01-31,25.71,$7.74,3.32
2016-10-31,27.98,$8.78,3.19
2016-07-31,26.3,$7.01,3.75
2016-04-30,27.64,$4.25,6.5
2016-01-31,30.73,$4.07,7.55
2015-10-31,28.22,$4.01,7.04
2015-07-31,37.19,$4.72,7.88
2015-04-30,43.14,$6.20,6.96
2015-01-31,35.74,$6.58,5.43
2014-10-31,32.23,$4.94,6.52
2014-07-31,31.61,$5.22,6.05
2014-04-30,32.12,$4.89,6.56
2014-01-31,29.47,$5.64,5.22
2013-10-31,32.85,$4.28,7.68
2013-07-31,30.44,$3.54,8.6
2013-04-30,26.86,$1.81,14.85
2013-01-31,26.22,$2.03,12.95
2012-10-31,29.96,$3.45,8.69
2012-07-31,27.79,$3.67,7.57
2012-04-30,27.82,$4.95,5.62
2012-01-31,25.35,$4.47,5.67
2011-10-31,29.08,$4.00,7.28
2011-07-31,29.84,$3.81,7.83
2011-04-30,28.61,$3.29,8.68
2011-01-31,27.43,$3.10,8.85
2010-10-31,27.67,$3.02,9.17
2010-07-31,25.76,$3.82,6.74
2010-04-30,29.71,$4.90,6.07
2010-01-31,27.21,$5.26,5.17
2009-10-31,30.91,$4.87,6.35
