Leafly Holdings Price to Free Cash Flow Ratio Historical Data,Leafly Holdings Price to Free Cash Flow Ratio Historical Data,Leafly Holdings Price to Free Cash Flow Ratio Historical Data,Leafly Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-01-16,0.57,,0.0
2024-09-30,2.1,$-0.21,0.0
2024-06-30,2.01,$-0.03,0.0
2024-03-31,2.96,$-0.40,0.0
2023-12-31,4.81,$-4.95,0.0
2023-09-30,6.42,$-8.78,0.0
2023-06-30,5.8,$-12.14,0.0
2023-03-31,8.0,$-13.35,0.0
2022-12-31,13.04,$-16.19,0.0
2022-09-30,13.58,$-15.77,0.0
2022-06-30,90.0,$-14.49,0.0
2022-03-31,165.6,$-13.22,0.0
2021-12-31,199.8,$-5.57,0.0
2021-09-30,199.8,$-2.94,0.0
2021-06-30,199.0,$-1.77,0.0
2021-03-31,197.6,$-2.21,0.0
2020-12-31,204.0,$-3.63,0.0
2020-09-30,197.7,$-3.20,0.0
