TransCode Therapeutics Price to Free Cash Flow Ratio Historical Data,TransCode Therapeutics Price to Free Cash Flow Ratio Historical Data,TransCode Therapeutics Price to Free Cash Flow Ratio Historical Data,TransCode Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.77,,0.0
2024-09-30,0.57,$392.49,0.0
2024-06-30,1.01,"$-3,075.04",0.0
2024-03-31,0.68,"$-3,120.56",0.0
2023-12-31,0.16,"$-3,338.96",0.0
2023-09-30,0.5,"$-4,715.05",0.0
2023-06-30,2.3,"$-1,260.81",0.0
2023-03-31,0.34,"$-1,222.26",0.0
2022-12-31,0.67,$-978.88,0.0
2022-09-30,1.1,$-18.55,0.0
2022-06-30,1.26,$-12.06,0.0
