Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,315.04,,16.4
2024-12-31,260.64,$19.21,13.57
2024-09-30,319.63,$11.60,27.56
2024-06-30,307.79,$10.14,30.34
2024-03-31,278.09,$13.20,21.07
2023-12-31,279.54,$13.68,20.44
2023-09-30,258.8,$17.34,14.92
2023-06-30,212.08,$17.91,11.84
2023-03-31,228.76,$13.99,16.35
2022-12-31,246.35,$16.24,15.17
2022-09-30,209.98,$16.38,12.82
2022-06-30,224.92,$15.04,14.95
2022-03-31,221.78,$14.87,14.91
2021-12-31,204.56,$14.63,13.99
2021-09-30,191.73,$13.61,14.08
2021-06-30,218.11,$15.26,14.29
2021-03-31,221.09,$16.74,13.2
2020-12-31,202.79,$16.76,12.1
2020-09-30,222.67,$17.13,13.0
2020-06-30,205.26,$16.99,12.08
2020-03-31,175.26,$14.60,12.0
2019-12-31,206.92,$14.01,14.77
2019-09-30,165.01,$14.49,11.39
2019-06-30,157.14,$13.99,11.23
2019-03-31,160.63,$15.02,10.69
2018-12-31,163.32,$15.88,10.29
2018-09-30,172.73,$15.55,11.1
2018-06-30,152.78,$15.20,10.05
2018-03-31,140.04,$14.93,9.38
2017-12-31,141.81,$14.30,9.91
2017-09-30,151.02,$14.24,10.61
2017-06-30,138.57,$13.04,10.63
2017-03-31,131.06,$13.43,9.76
2016-12-31,116.0,$12.75,9.1
2016-09-30,131.45,$11.37,11.56
2016-06-30,119.21,$11.73,10.16
2016-03-31,116.71,$12.83,9.1
2015-12-31,125.47,$12.29,10.21
2015-09-30,106.25,$13.31,7.98
2015-06-30,117.49,$12.93,9.08
2015-03-31,121.73,$11.21,10.86
2014-12-31,120.68,$10.70,11.28
2014-09-30,106.02,$9.43,11.25
2014-06-30,88.91,$8.23,10.81
2014-03-31,92.14,$7.44,12.38
2013-12-31,84.8,$7.34,11.55
2013-09-30,82.85,$5.92,13.99
2013-06-30,72.71,$5.79,12.56
2013-03-31,75.22,$6.73,11.18
2012-12-31,62.9,$6.60,9.53
2012-09-30,61.25,$7.35,8.33
2012-06-30,52.75,$6.35,8.31
2012-03-31,48.93,$5.04,9.71
2011-12-31,45.98,$4.99,9.21
2011-09-30,39.16,$5.37,7.29
2011-06-30,41.35,$5.61,7.37
2011-03-31,37.88,$5.56,6.82
2010-12-31,38.91,$5.40,7.21
2010-09-30,39.06,$5.16,7.56
2010-06-30,37.28,$5.73,6.5
2010-03-31,42.41,$5.80,7.31
2009-12-31,40.09,$5.69,7.05
