EnGene Holdings Price to Free Cash Flow Ratio Historical Data,EnGene Holdings Price to Free Cash Flow Ratio Historical Data,EnGene Holdings Price to Free Cash Flow Ratio Historical Data,EnGene Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.21,,0.0
2025-01-31,6.7,$-1.47,0.0
2024-10-31,8.85,$-1.30,0.0
2024-07-31,9.5,$-36.23,0.0
2024-04-30,15.9,$-10.84,0.0
2024-01-31,7.84,$-36.11,0.0
2023-10-31,21.7,$-20.77,0.0
2023-09-30,10.96,$-0.50,0.0
2023-07-31,10.79,$-16.31,0.0
2023-06-30,10.73,$-0.39,0.0
2023-04-30,10.53,$-15.39,0.0
2023-03-31,10.54,$-26.98,0.0
2023-01-31,10.39,$-36.66,0.0
2022-12-31,10.33,$-26.99,0.0
2022-10-31,10.15,$-27.09,0.0
2022-09-30,10.1,$-0.14,0.0
2022-07-31,10.01,0,0.0
