Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data,Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data,Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data,Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.0,,44.04
2024-12-31,60.3,$1.11,54.2
2024-09-30,57.62,$0.91,63.41
2024-06-30,62.65,$0.94,66.52
2024-03-31,58.14,$0.96,60.7
2023-12-31,45.74,$0.88,51.83
2023-09-30,36.64,$1.00,36.71
2023-06-30,42.78,$0.90,47.64
2023-03-31,34.17,$0.71,48.09
2022-12-31,27.75,$0.60,46.13
2022-09-30,30.06,$0.64,46.84
2022-06-30,26.15,$0.61,42.9
2022-03-31,31.64,$0.57,55.48
2021-12-31,34.97,$0.59,59.08
2021-09-30,36.35,$0.36,100.5
2021-06-30,31.01,$0.35,87.57
2021-03-31,28.42,$0.28,99.95
2020-12-31,27.73,$0.20,135.62
2020-09-30,24.87,$0.29,86.73
2020-06-30,21.05,$0.27,77.84
2020-03-31,13.09,$0.27,47.87
2019-12-31,16.74,$0.28,58.97
2019-09-30,16.81,$0.25,68.16
2019-06-30,14.66,$0.23,63.32
2019-03-31,14.21,$0.22,64.43
2018-12-31,8.64,$0.24,36.13
2018-09-30,9.09,$0.23,39.98
2018-06-30,8.63,$0.21,42.0
2018-03-31,6.46,$0.21,30.2
2017-12-31,5.78,$0.18,32.83
2017-09-30,6.16,$0.15,39.93
2017-06-30,8.32,$0.12,70.05
2017-03-31,8.91,$0.13,68.38
2016-12-31,7.55,$0.06,116.64
2016-09-30,8.47,$0.07,115.08
2016-06-30,8.06,$0.12,64.6
2016-03-31,9.42,$0.15,61.32
2015-12-31,9.6,$0.27,35.48
2015-09-30,14.41,$0.28,50.79
2015-06-30,12.1,$0.29,41.61
2015-03-31,13.01,$0.30,42.73
2014-12-31,13.69,$0.27,50.22
2014-09-30,13.33,$0.30,45.04
2014-06-30,11.85,$0.25,46.73
2014-03-31,11.36,$0.24,47.8
2013-12-31,10.66,$0.21,50.67
2013-09-30,8.58,$0.20,42.21
2013-06-30,7.29,$0.21,34.65
2013-03-31,6.52,$0.20,31.81
2012-12-31,5.95,$0.14,42.4
2012-09-30,6.35,$0.14,46.22
2012-06-30,7.6,$0.14,54.16
2012-03-31,8.36,$0.13,64.61
2011-12-31,6.75,$0.16,41.29
2011-09-30,6.06,$0.16,38.79
2011-06-30,6.16,$0.13,47.52
2011-03-31,5.45,$0.11,48.59
2010-12-31,4.25,$0.11,38.35
2010-09-30,3.44,$0.11,32.27
2010-06-30,2.74,$0.11,25.98
2010-03-31,2.25,$0.09,24.39
2009-12-31,1.76,$0.09,19.72
