Gildan Activewear Price to Free Cash Flow Ratio Historical Data,Gildan Activewear Price to Free Cash Flow Ratio Historical Data,Gildan Activewear Price to Free Cash Flow Ratio Historical Data,Gildan Activewear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.01,,19.04
2024-12-31,47.05,$2.42,19.47
2024-09-30,46.92,$2.30,20.36
2024-06-30,37.58,$2.87,13.09
2024-03-31,36.59,$2.96,12.37
2023-12-31,32.38,$2.25,14.39
2023-09-30,27.29,$1.69,16.15
2023-06-30,31.21,$0.12,265.88
2023-03-31,31.93,$0.26,120.7
2022-12-31,26.2,$0.94,27.72
2022-09-30,26.87,$0.41,65.65
2022-06-30,27.21,$1.65,16.45
2022-03-31,35.23,$2.00,17.6
2021-12-31,39.66,$2.48,15.99
2021-09-30,34.04,$3.82,8.9
2021-06-30,34.18,$3.34,10.24
2021-03-31,28.26,$3.03,9.31
2020-12-31,25.82,$1.84,14.05
2020-09-30,18.13,$1.63,11.13
2020-06-30,14.28,$1.37,10.41
2020-03-31,11.76,$0.61,19.35
2019-12-31,27.0,$1.16,23.2
2019-09-30,32.3,$1.16,27.85
2019-06-30,35.06,$1.31,26.84
2019-03-31,32.49,$1.68,19.28
2018-12-31,27.32,$2.11,12.95
2018-09-30,27.29,$1.66,16.49
2018-06-30,25.16,$1.75,14.37
2018-03-31,25.71,$1.96,13.09
2017-12-31,28.63,$2.32,12.32
2017-09-30,27.64,$2.18,12.67
2017-06-30,27.07,$2.31,11.73
2017-03-31,23.74,$2.13,11.14
2016-12-31,22.19,$1.73,12.8
2016-09-30,24.38,$1.05,23.3
2016-06-30,25.51,$0.86,29.8
2016-03-31,26.47,$0.39,68.22
2015-12-31,24.59,$0.16,149.46
2015-09-30,26.04,$-0.16,0.0
2015-06-30,28.64,$-0.33,0.0
2015-03-31,25.38,$-0.36,0.0
2014-12-31,24.26,$-0.51,0.0
2014-09-30,23.42,$-1.46,0.0
2014-06-30,25.15,$-1.45,0.0
2014-03-31,21.48,$-0.79,0.0
2013-12-31,22.68,$-0.28,0.0
2013-09-30,19.71,$0.57,34.35
2013-06-30,17.16,$0.77,22.36
2013-03-31,16.87,$0.64,26.34
2012-12-31,15.43,$0.09,166.78
2012-09-30,13.33,$-0.05,0.0
2012-06-30,11.55,$-0.44,0.0
2012-03-31,11.52,$-0.90,0.0
2011-12-31,7.83,$-0.56,0.0
2011-09-30,10.73,$-0.72,0.0
2011-06-30,14.56,$-0.74,0.0
2011-03-31,13.53,$-0.54,0.0
2010-12-31,11.74,$-0.10,0.0
2010-09-30,11.57,$0.37,31.39
2010-06-30,11.8,$0.59,19.92
2010-03-31,10.83,$0.57,19.11
2009-12-31,10.04,$0.16,61.24
