Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,271.1,,26.16
2024-12-31,316.05,$10.36,30.5
2024-09-30,298.06,$12.53,23.78
2024-06-30,253.92,$10.83,23.44
2024-03-31,259.54,$9.56,27.16
2023-12-31,215.58,$8.13,26.5
2023-09-30,186.8,$5.42,34.46
2023-06-30,196.09,$5.06,38.72
2023-03-31,166.18,$5.08,32.71
2022-12-31,142.11,$5.18,27.43
2022-09-30,126.97,$2.18,58.2
2022-06-30,124.86,$0.47,265.99
2022-03-31,130.96,$1.24,105.26
2021-12-31,114.02,$1.69,67.31
2021-09-30,113.19,$2.28,49.64
2021-06-30,90.02,$3.02,29.85
2021-03-31,87.33,$5.36,16.29
2020-12-31,71.49,$6.14,11.65
2020-09-30,52.43,$8.72,6.01
2020-06-30,38.87,$8.46,4.59
2020-03-31,31.35,$4.08,7.68
2019-12-31,40.22,$2.01,20.05
2019-09-30,37.3,$-1.41,0.0
2019-06-30,37.64,$-1.80,0.0
2019-03-31,37.12,$-0.11,0.0
2018-12-31,29.61,$0.63,47.09
2018-09-30,32.84,$0.93,35.37
2018-06-30,32.85,$1.85,17.76
2018-03-31,33.79,$1.03,32.75
2017-12-31,38.47,$0.96,40.15
2017-09-30,36.76,$0.91,40.18
2017-06-30,32.38,$-0.44,0.0
2017-03-31,36.5,$-0.03,0.0
2016-12-31,34.28,$1.27,26.94
2016-09-30,27.53,$1.49,18.42
2016-06-30,22.74,$2.59,8.79
2016-03-31,22.19,$2.71,8.18
2015-12-31,19.92,$2.28,8.74
2015-09-30,23.81,$2.20,10.83
2015-06-30,28.35,$1.66,17.06
2015-03-31,28.06,$1.23,22.87
2014-12-31,27.93,$0.07,409.48
2014-09-30,35.7,$-0.27,0.0
2014-06-30,34.02,$-0.04,0.0
2014-03-31,36.3,$0.23,161.18
2013-12-31,31.04,$0.76,40.84
2013-09-30,27.06,$0.74,36.54
2013-06-30,26.03,$0.04,599.72
2013-03-31,28.11,$0.30,94.69
2012-12-31,26.84,$-0.14,0.0
2012-09-30,24.3,$-0.31,0.0
2012-06-30,23.68,$0.23,105.04
2012-03-31,20.56,$-0.08,0.0
2011-12-31,21.19,$0.24,88.69
2011-09-30,18.48,$0.86,21.56
2011-06-30,19.87,$0.47,41.97
2011-03-31,22.06,$0.47,47.03
2010-12-31,19.59,$0.46,42.39
2010-09-30,18.77,$-0.23,0.0
2010-06-30,20.31,$0.49,41.77
2010-03-31,18.85,$0.55,34.38
2009-12-31,20.5,$1.10,18.68
