InTest Price to Free Cash Flow Ratio Historical Data,InTest Price to Free Cash Flow Ratio Historical Data,InTest Price to Free Cash Flow Ratio Historical Data,InTest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.5,,36.76
2024-12-31,8.59,$0.20,42.11
2024-09-30,7.3,$0.41,17.85
2024-06-30,9.88,$0.57,17.27
2024-03-31,13.25,$1.21,10.91
2023-12-31,13.6,$1.27,10.74
2023-09-30,15.17,$1.04,14.56
2023-06-30,26.26,$0.68,38.74
2023-03-31,20.74,$0.23,90.85
2022-12-31,10.3,$-0.25,0.0
2022-09-30,7.63,$-0.21,0.0
2022-06-30,6.82,$0.07,102.1
2022-03-31,10.73,$0.70,15.35
2021-12-31,12.72,$0.92,13.86
2021-09-30,11.48,$0.77,14.91
2021-06-30,16.77,$0.58,28.92
2021-03-31,11.81,$0.20,57.86
2020-12-31,6.49,$0.25,25.6
2020-09-30,4.5,$0.23,19.62
2020-06-30,3.37,$0.11,32.0
2020-03-31,2.66,$0.04,75.35
2019-12-31,5.95,$-0.87,0.0
2019-09-30,4.65,$-0.56,0.0
2019-06-30,4.81,$-0.29,0.0
2019-03-31,6.72,$-0.19,0.0
2018-12-31,6.13,$0.84,7.28
2018-09-30,7.75,$0.66,11.73
2018-06-30,7.3,$0.70,10.44
2018-03-31,6.65,$0.85,7.85
2017-12-31,8.65,$0.63,13.69
2017-09-30,8.3,$0.70,11.8
2017-06-30,6.65,$0.46,14.32
2017-03-31,6.4,$0.31,20.76
2016-12-31,4.6,$0.38,12.04
2016-09-30,4.0,$0.19,20.88
2016-06-30,3.81,$0.23,16.23
2016-03-31,3.9,$0.28,13.72
2015-12-31,4.23,$0.28,15.31
2015-09-30,4.2,$0.52,8.12
2015-06-30,4.36,$0.40,10.95
2015-03-31,4.1,$0.39,10.63
2014-12-31,4.25,$0.41,10.33
2014-09-30,4.76,$0.34,14.18
2014-06-30,3.89,$0.34,11.54
2014-03-31,4.01,$0.32,12.42
2013-12-31,3.8,$0.32,11.8
2013-09-30,3.96,$0.27,14.71
2013-06-30,3.79,$0.49,7.69
2013-03-31,3.07,$0.59,5.17
2012-12-31,2.76,$0.60,4.58
2012-09-30,2.54,$0.63,4.04
2012-06-30,3.28,$0.66,5.0
2012-03-31,3.44,$0.85,4.05
2011-12-31,2.69,$0.69,3.9
2011-09-30,2.56,$0.72,3.53
2011-06-30,3.25,$0.70,4.63
2011-03-31,3.56,$0.38,9.37
2010-12-31,2.47,$0.57,4.32
2010-09-30,2.89,$0.28,10.34
2010-06-30,3.29,$-0.14,0.0
2010-03-31,1.53,$-0.23,0.0
2009-12-31,1.67,$-0.43,0.0
