Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data,Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data,Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data,Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.25,,0.0
2024-12-31,28.43,$-4.54,0.0
2024-09-30,26.77,$-4.18,0.0
2024-06-30,22.52,$2.96,7.6
2024-03-31,22.45,$2.81,7.99
2023-12-31,24.12,$3.57,6.76
2023-09-30,19.32,$2.83,6.81
2023-06-30,19.81,$3.74,5.3
2023-03-31,23.74,$3.02,7.87
2022-12-31,28.16,$2.38,11.83
2022-09-30,25.56,$2.08,12.29
2022-06-30,23.09,$-6.45,0.0
2022-03-31,26.88,$-5.58,0.0
2021-12-31,26.27,$-5.44,0.0
2021-09-30,24.83,$-4.94,0.0
2021-06-30,25.11,$2.18,11.54
2021-03-31,20.35,$4.18,4.87
2020-12-31,15.53,$4.39,3.54
2020-09-30,9.11,$5.88,1.55
2020-06-30,9.81,$6.09,1.61
2020-03-31,12.92,$3.16,4.08
2019-12-31,28.34,$2.04,13.87
2019-09-30,25.07,$0.79,31.6
2019-06-30,26.66,$2.63,10.14
2019-03-31,23.13,$2.38,9.71
2018-12-31,22.72,$4.61,4.93
2018-09-30,34.07,$4.38,7.78
2018-06-30,33.81,$2.81,12.05
2018-03-31,31.42,$2.19,14.36
2017-12-31,30.13,$1.68,17.89
2017-09-30,31.72,$2.09,15.18
2017-06-30,28.6,$2.22,12.86
2017-03-31,29.17,$3.86,7.55
2016-12-31,29.64,$2.86,10.35
2016-09-30,22.14,$3.02,7.34
2016-06-30,21.35,$3.75,5.69
2016-03-31,21.16,$2.96,7.15
2015-12-31,22.73,$2.84,8.0
2015-09-30,21.37,$2.93,7.28
2015-06-30,21.96,$1.07,20.48
2015-03-31,21.21,$1.55,13.67
2014-12-31,20.27,$2.00,10.14
2014-09-30,17.73,$1.38,12.85
2014-06-30,17.4,$4.04,4.3
2014-03-31,19.24,$4.46,4.32
2013-12-31,20.13,$4.58,4.4
2013-09-30,18.4,$5.59,3.29
2013-06-30,20.2,$1.06,19.12
2013-03-31,18.46,$0.71,25.85
2012-12-31,17.12,$0.45,38.15
2012-09-30,16.29,$-0.79,0.0
2012-06-30,15.55,$1.83,8.52
2012-03-31,16.08,$1.73,9.29
2011-12-31,15.45,$1.83,8.43
2011-09-30,12.75,$2.42,5.27
2011-06-30,15.34,$2.06,7.44
2011-03-31,14.16,$2.11,6.7
2010-12-31,14.92,$2.57,5.81
2010-09-30,12.7,$0.78,16.34
2010-06-30,12.94,$1.53,8.46
2010-03-31,12.08,$1.42,8.54
2009-12-31,13.51,$0.63,21.3
