ARM Holdings Price to Free Cash Flow Ratio Historical Data,ARM Holdings Price to Free Cash Flow Ratio Historical Data,ARM Holdings Price to Free Cash Flow Ratio Historical Data,ARM Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,119.07,,190.85
2024-12-31,123.36,$0.62,197.72
2024-09-30,143.01,$0.56,255.6
2024-06-30,163.62,$0.65,249.95
