Mural Oncology Price to Free Cash Flow Ratio Historical Data,Mural Oncology Price to Free Cash Flow Ratio Historical Data,Mural Oncology Price to Free Cash Flow Ratio Historical Data,Mural Oncology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.87,,0.0
2024-12-31,3.22,$-7.58,0.0
2024-09-30,3.13,$-17.53,0.0
