Apogee Enterprises Price to Free Cash Flow Ratio Historical Data,Apogee Enterprises Price to Free Cash Flow Ratio Historical Data,Apogee Enterprises Price to Free Cash Flow Ratio Historical Data,Apogee Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.09,,8.0
2024-11-30,84.21,$5.89,14.3
2024-08-31,66.56,$7.37,9.03
2024-05-31,64.48,$6.60,9.77
2024-02-29,56.57,$7.30,7.75
2023-11-30,44.39,$5.86,7.58
2023-08-31,49.38,$5.43,9.09
2023-05-31,35.94,$4.93,7.3
2023-02-28,44.29,$2.91,15.21
2022-11-30,46.46,$3.09,15.05
2022-08-31,39.12,$2.14,18.31
2022-05-31,39.62,$2.83,14.02
2022-02-28,42.7,$4.32,9.89
2021-11-30,38.93,$3.45,11.28
2021-08-31,40.32,$4.51,8.95
2021-05-31,35.47,$4.87,7.28
2021-02-28,34.71,$5.35,6.48
2020-11-30,24.22,$6.65,3.64
2020-08-31,19.18,$5.15,3.73
2020-05-31,18.77,$3.65,5.14
2020-02-29,27.14,$2.29,11.86
2019-11-30,34.17,$0.45,75.42
2019-08-31,32.85,$0.70,47.05
2019-05-31,32.11,$0.37,87.39
2019-02-28,31.47,$1.71,18.4
2018-11-30,31.98,$3.42,9.37
2018-08-31,43.01,$2.98,14.45
2018-05-31,38.02,$3.38,11.25
2018-02-28,37.44,$2.63,14.25
2017-11-30,43.27,$1.91,22.6
2017-08-31,37.68,$2.01,18.78
2017-05-31,45.82,$2.44,18.82
2017-02-28,49.05,$2.00,24.57
2016-11-30,40.81,$1.98,20.61
2016-08-31,41.29,$1.99,20.79
2016-05-31,38.47,$1.92,20.06
2016-02-29,33.87,$2.96,11.45
2015-11-30,42.46,$2.91,14.61
2015-08-31,44.0,$2.85,15.43
2015-05-31,45.24,$2.18,20.77
2015-02-28,38.53,$1.52,25.39
2014-11-30,37.91,$0.11,335.51
2014-08-31,30.53,$0.34,90.41
2014-05-31,25.1,$0.25,101.77
2014-02-28,28.44,$0.38,75.48
2013-11-30,29.67,$1.07,27.61
2013-08-31,23.04,$0.58,39.76
2013-05-31,21.96,$0.73,30.07
2013-02-28,21.16,$0.24,87.37
2012-11-30,18.74,$0.98,19.11
2012-08-31,12.86,$1.00,12.83
2012-05-31,11.96,$0.72,16.69
2012-02-29,10.68,$0.90,11.88
2011-11-30,8.48,$0.54,15.64
2011-08-31,7.45,$0.25,30.0
2011-05-31,10.44,$0.13,78.59
2011-02-28,10.72,$-0.61,0.0
2010-11-30,8.79,$-0.40,0.0
2010-08-31,6.97,$1.02,6.82
2010-05-31,10.48,$1.90,5.51
2010-02-28,10.91,$3.17,3.45
2009-11-30,10.39,$4.57,2.27
