Amarin Price to Free Cash Flow Ratio Historical Data,Amarin Price to Free Cash Flow Ratio Historical Data,Amarin Price to Free Cash Flow Ratio Historical Data,Amarin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.44,,0.0
2024-12-31,0.49,$-0.08,0.0
2024-09-30,0.63,$-0.04,0.0
2024-06-30,0.69,$-0.02,0.0
2024-03-31,0.89,$0.00,0.0
2023-12-31,0.87,$0.02,51.79
2023-09-30,0.92,$0.02,50.0
2023-06-30,1.19,$-0.04,0.0
2023-03-31,1.5,$-0.22,0.0
2022-12-31,1.21,$-0.45,0.0
2022-09-30,1.09,$-0.52,0.0
2022-06-30,1.49,$-0.49,0.0
2022-03-31,3.29,$-0.37,0.0
2021-12-31,3.37,$-0.17,0.0
2021-09-30,5.1,$-0.20,0.0
2021-06-30,4.38,$-0.16,0.0
2021-03-31,6.21,$-0.12,0.0
2020-12-31,4.89,$-0.06,0.0
2020-09-30,4.21,$0.01,290.34
2020-06-30,6.92,$0.05,142.39
2020-03-31,4.0,$0.09,43.43
2019-12-31,21.44,$-0.03,0.0
2019-09-30,15.16,$-0.11,0.0
2019-06-30,19.39,$-0.27,0.0
2019-03-31,20.76,$-0.40,0.0
2018-12-31,13.61,$-0.32,0.0
2018-09-30,16.27,$-0.22,0.0
2018-06-30,3.09,$-0.15,0.0
2018-03-31,3.01,$-0.10,0.0
2017-12-31,4.01,$-0.12,0.0
2017-09-30,3.5,$-0.20,0.0
2017-06-30,4.03,$-0.25,0.0
2017-03-31,3.2,$-0.26,0.0
2016-12-31,3.08,$-0.34,0.0
2016-09-30,3.19,$-0.38,0.0
2016-06-30,2.16,$-0.44,0.0
2016-03-31,1.53,$-0.53,0.0
2015-12-31,1.89,$-0.47,0.0
2015-09-30,1.93,$-0.43,0.0
2015-06-30,2.46,$-0.45,0.0
2015-03-31,2.34,$-0.34,0.0
2014-12-31,0.98,$-0.43,0.0
2014-09-30,1.09,$-0.55,0.0
2014-06-30,1.76,$-0.61,0.0
2014-03-31,1.81,$-0.92,0.0
2013-12-31,1.97,$-1.14,0.0
2013-09-30,6.32,$-1.25,0.0
2013-06-30,5.8,$-1.29,0.0
2013-03-31,7.41,$-1.10,0.0
2012-12-31,8.09,$-0.85,0.0
2012-09-30,12.58,$-0.66,0.0
2012-06-30,14.46,$-0.43,0.0
2012-03-31,11.32,$-0.38,0.0
2011-12-31,7.49,$-0.31,0.0
2011-09-30,9.2,$-0.26,0.0
2011-06-30,14.43,$-0.32,0.0
2011-03-31,7.3,$-0.31,0.0
2010-12-31,8.2,$-0.33,0.0
2010-09-30,2.58,$-0.24,0.0
