Reading Inc Price to Free Cash Flow Ratio Historical Data,Reading Inc Price to Free Cash Flow Ratio Historical Data,Reading Inc Price to Free Cash Flow Ratio Historical Data,Reading Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.47,,0.0
2024-09-30,1.63,$-0.29,0.0
2024-06-30,1.42,$-0.26,0.0
2024-03-31,1.84,$0.28,6.62
2023-12-31,1.91,$-0.53,0.0
2023-09-30,2.12,$-0.62,0.0
2023-06-30,2.65,$-1.15,0.0
2023-03-31,3.25,$-1.45,0.0
2022-12-31,2.77,$-1.56,0.0
2022-09-30,3.29,$-1.61,0.0
2022-06-30,3.61,$-1.57,0.0
2022-03-31,4.28,$1.77,2.42
2021-12-31,4.04,$5.18,0.78
2021-09-30,5.06,$5.16,0.98
2021-06-30,6.97,$5.34,1.31
2021-03-31,5.55,$1.35,4.1
2020-12-31,5.02,$-2.19,0.0
2020-09-30,3.22,$-1.98,0.0
2020-06-30,4.25,$-1.76,0.0
2020-03-31,3.89,$-1.10,0.0
2019-12-31,11.19,$-0.93,0.0
2019-09-30,11.96,$-0.98,0.0
2019-06-30,12.98,$-1.00,0.0
2019-03-31,15.96,$-1.09,0.0
2018-12-31,14.54,$-1.33,0.0
2018-09-30,15.8,$-0.40,0.0
2018-06-30,15.95,$-1.00,0.0
2018-03-31,16.65,$-0.44,0.0
2017-12-31,16.7,$0.11,147.92
2017-09-30,15.72,$-0.73,0.0
2017-06-30,16.13,$-0.22,0.0
2017-03-31,15.54,$-1.16,0.0
2016-12-31,16.6,$-0.77,0.0
2016-09-30,13.35,$-2.21,0.0
2016-06-30,12.49,$-2.07,0.0
2016-03-31,11.98,$-0.12,0.0
2015-12-31,13.11,$-0.11,0.0
2015-09-30,12.67,$1.54,8.25
2015-06-30,13.85,$1.61,8.61
2015-03-31,13.45,$0.91,14.73
2014-12-31,13.26,$0.79,16.7
2014-09-30,8.4,$0.55,15.22
2014-06-30,8.53,$0.45,18.88
2014-03-31,7.33,$0.23,32.12
2013-12-31,7.49,$0.22,34.53
2013-09-30,6.57,$1.11,5.91
2013-06-30,6.36,$1.56,4.08
2013-03-31,5.6,$1.14,4.9
2012-12-31,6.01,$1.36,4.41
2012-09-30,5.9,$0.68,8.63
2012-06-30,5.41,$0.58,9.38
2012-03-31,4.66,$1.29,3.6
2011-12-31,4.24,$1.11,3.82
2011-09-30,4.3,$0.93,4.61
2011-06-30,4.55,$0.70,6.5
2011-03-31,5.05,$0.26,19.77
2010-12-31,5.05,$0.38,13.19
2010-09-30,4.52,$0.53,8.49
2010-06-30,3.97,$0.68,5.85
2010-03-31,4.27,$0.73,5.84
2009-12-31,4.05,$0.54,7.5
