Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.41,,17.0
2024-12-31,72.57,$4.14,17.52
2024-09-30,83.64,$4.42,18.91
2024-06-30,66.18,$4.59,14.41
2024-03-31,77.97,$4.73,16.47
2023-12-31,65.94,$5.18,12.74
2023-09-30,52.62,$4.27,12.31
2023-06-30,56.22,$3.60,15.61
2023-03-31,48.44,$3.59,13.51
2022-12-31,45.23,$2.66,17.03
2022-09-30,44.97,$2.81,16.03
2022-06-30,48.48,$2.90,16.7
2022-03-31,48.63,$2.60,18.67
2021-12-31,66.62,$3.20,20.85
2021-09-30,52.51,$3.34,15.72
2021-06-30,55.48,$2.99,18.56
2021-03-31,56.19,$3.14,17.88
2020-12-31,51.4,$3.18,16.15
2020-09-30,51.46,$2.59,19.84
2020-06-30,46.74,$2.84,16.47
2020-03-31,32.07,$2.58,12.42
2019-12-31,44.4,$2.45,18.14
2019-09-30,38.44,$2.84,13.52
2019-06-30,36.07,$2.62,13.78
2019-03-31,36.03,$2.44,14.79
2018-12-31,26.7,$2.69,9.91
2018-09-30,33.3,$2.38,14.0
2018-06-30,33.95,$2.25,15.1
2018-03-31,36.6,$2.15,16.99
2017-12-31,39.67,$1.89,20.96
2017-09-30,35.13,$1.87,18.76
2017-06-30,34.32,$1.77,19.35
2017-03-31,30.44,$1.61,18.95
2016-12-31,28.23,$1.85,15.3
2016-09-30,30.54,$2.12,14.39
2016-06-30,27.45,$2.09,13.15
2016-03-31,27.82,$2.17,12.85
2015-12-31,24.95,$1.96,12.7
2015-09-30,22.12,$1.68,13.14
2015-06-30,20.65,$1.57,13.19
2015-03-31,20.6,$1.62,12.69
2014-12-31,19.37,$1.40,13.88
2014-09-30,18.32,$1.41,13.02
2014-06-30,17.0,$1.57,10.8
2014-03-31,16.88,$1.47,11.46
2013-12-31,17.25,$1.55,11.12
2013-09-30,16.06,$1.37,11.73
2013-06-30,14.65,$0.77,19.09
2013-03-31,15.17,$0.51,29.82
2012-12-31,12.42,$0.66,18.93
2012-09-30,11.16,$0.40,27.99
2012-06-30,10.23,$0.48,21.22
2012-03-31,9.81,$0.33,29.3
2011-12-31,7.64,$0.32,23.73
2011-09-30,5.14,$0.54,9.44
2011-06-30,8.63,$0.71,12.19
2011-03-31,9.93,$0.86,11.49
2010-12-31,8.98,$0.99,9.06
2010-09-30,7.76,$1.15,6.76
2010-06-30,7.53,$1.55,4.85
2010-03-31,10.82,$1.52,7.1
2009-12-31,9.58,$1.72,5.57
