LanzaTech Global Price to Free Cash Flow Ratio Historical Data,LanzaTech Global Price to Free Cash Flow Ratio Historical Data,LanzaTech Global Price to Free Cash Flow Ratio Historical Data,LanzaTech Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.4,,0.0
2024-09-30,1.91,$-0.52,0.0
2024-06-30,1.85,$-0.51,0.0
2024-03-31,3.1,$-0.45,0.0
2023-12-31,5.03,$-0.60,0.0
2023-09-30,4.67,$-2.27,0.0
2023-06-30,6.83,$-5.44,0.0
2023-03-31,3.88,$-8.39,0.0
2022-12-31,9.98,$-10.25,0.0
2022-09-30,9.79,$-8.41,0.0
2022-06-30,9.77,$-5.14,0.0
