Aclarion Price to Free Cash Flow Ratio Historical Data,Aclarion Price to Free Cash Flow Ratio Historical Data,Aclarion Price to Free Cash Flow Ratio Historical Data,Aclarion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-09-30,0.18,$-154.68,0.0
2024-06-30,0.29,$-136.36,0.0
2024-03-31,0.33,$-141.61,0.0
2023-12-31,0.2,$-6.56,0.0
2023-09-30,0.33,$-17.96,0.0
2023-06-30,0.69,$-16.42,0.0
2023-03-31,0.65,$-15.02,0.0
