Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data,Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data,Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data,Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.77,,inf
2024-09-30,2.01,0,0.0
2023-12-31,2.31,$0.93,2.49
2023-09-30,2.25,$0.37,6.0
2023-06-30,2.11,$1.84,1.15
2023-03-31,2.07,$-0.11,0.0
2022-12-31,2.24,$-0.11,0.0
2022-09-30,2.18,$1.44,1.51
2022-06-30,3.14,$1.44,2.18
2022-03-31,3.78,$1.44,2.63
2021-12-31,4.21,$1.44,2.92
2021-09-30,4.7,$2.55,1.85
2021-06-30,4.58,$2.55,1.8
2021-03-31,4.92,$2.55,1.93
2020-12-31,5.39,$2.55,2.12
2020-09-30,3.56,$1.50,2.38
2020-06-30,3.31,$1.36,2.43
2020-03-31,3.25,$1.36,2.39
2019-12-31,6.42,$1.36,4.72
2019-09-30,5.43,$2.14,2.53
2019-06-30,5.76,$2.28,2.53
2019-03-31,5.63,$2.28,2.47
2018-12-31,4.26,$2.28,1.87
2018-09-30,5.61,$1.41,3.97
2018-06-30,5.93,$1.41,4.2
2018-03-31,5.87,$1.41,4.15
2017-12-31,5.96,$1.41,4.21
2017-09-30,6.21,$0.51,12.08
2017-06-30,5.67,$0.51,11.03
2017-03-31,5.53,$0.51,10.74
2016-12-31,5.33,$0.51,10.36
2016-09-30,5.83,$2.77,2.1
2016-06-30,5.27,$2.77,1.9
2016-03-31,4.98,$2.77,1.8
2015-12-31,4.16,$2.77,1.5
2015-09-30,4.81,$-0.00,0.0
2015-06-30,6.09,$5.03,1.21
