Barnes & Noble Education Price to Free Cash Flow Ratio Historical Data,Barnes & Noble Education Price to Free Cash Flow Ratio Historical Data,Barnes & Noble Education Price to Free Cash Flow Ratio Historical Data,Barnes & Noble Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.68,,0.39
2025-01-31,11.19,$24.76,0.45
2024-10-31,9.3,$11.24,0.83
2024-07-31,10.64,$29.97,0.36
2024-04-30,20.34,$-7.21,0.0
2024-01-31,85.68,$72.66,1.18
2023-10-31,102.0,$16.92,6.03
2023-07-31,147.0,$47.16,3.12
2023-04-30,156.0,$25.24,6.18
2023-01-31,231.0,$-97.83,0.0
2022-10-31,279.0,$-82.17,0.0
2022-07-31,271.0,$-76.95,0.0
2022-04-30,304.0,$-62.64,0.0
2022-01-31,602.0,$-68.76,0.0
2021-10-31,1038.0,$-135.86,0.0
2021-07-31,835.0,$79.39,10.52
2021-04-30,791.0,$10.74,73.66
2021-01-31,586.0,$-197.90,0.0
2020-10-31,230.0,$-232.96,0.0
2020-07-31,212.0,$-115.77,0.0
2020-04-30,179.0,$-93.45,0.0
2020-01-31,344.0,$-6.46,0.0
2019-10-31,411.0,$4.70,87.46
2019-07-31,350.0,$133.15,2.63
2019-04-30,430.0,$159.33,2.7
2019-01-31,572.0,$102.53,5.58
2018-10-31,571.0,$107.03,5.33
2018-07-31,562.0,$98.87,5.68
2018-04-30,719.0,$36.85,19.51
2018-01-31,665.0,$53.28,12.48
2017-10-31,545.0,$99.94,5.45
2017-07-31,723.0,$1.09,661.3
2017-04-30,1041.0,$71.24,14.61
2017-01-31,1005.0,$146.90,6.84
2016-10-31,931.0,$299.62,3.11
2016-07-31,1156.0,$1.75,660.12
