Newmark Price to Free Cash Flow Ratio Historical Data,Newmark Price to Free Cash Flow Ratio Historical Data,Newmark Price to Free Cash Flow Ratio Historical Data,Newmark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.58,,0.0
2024-12-31,12.81,$-0.23,0.0
2024-09-30,15.5,$-1.40,0.0
2024-06-30,10.19,$0.64,15.83
2024-03-31,11.01,$0.16,68.35
2023-12-31,10.85,$-1.82,0.0
2023-09-30,6.34,$1.56,4.07
2023-06-30,6.11,$-0.48,0.0
2023-03-31,6.92,$0.26,26.89
2022-12-31,7.76,$4.63,1.68
2022-09-30,7.82,$2.22,3.52
2022-06-30,9.35,$-1.90,0.0
2022-03-31,15.35,$0.54,28.51
2021-12-31,18.03,$-0.35,0.0
2021-09-30,13.79,$-1.00,0.0
2021-06-30,11.56,$3.83,3.02
2021-03-31,9.62,$-0.86,0.0
2020-12-31,7.01,$-4.44,0.0
2020-09-30,4.15,$-1.73,0.0
2020-06-30,4.65,$-1.27,0.0
2020-03-31,4.06,$2.51,1.62
2019-12-31,12.72,$5.15,2.47
2019-09-30,8.5,$3.13,2.72
2019-06-30,8.33,$-0.32,0.0
2019-03-31,7.65,$0.37,20.9
2018-12-31,7.29,$-2.16,0.0
2018-09-30,10.07,$2.74,3.68
