BioAffinity Technologies Price to Free Cash Flow Ratio Historical Data,BioAffinity Technologies Price to Free Cash Flow Ratio Historical Data,BioAffinity Technologies Price to Free Cash Flow Ratio Historical Data,BioAffinity Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.28,,0.0
2024-09-30,2.08,$-0.64,0.0
2024-06-30,2.16,$-0.70,0.0
2024-03-31,2.02,$-0.75,0.0
2023-12-31,1.47,$-0.69,0.0
2023-09-30,1.16,$-0.81,0.0
2023-06-30,1.83,$-1.30,0.0
