Innovative Solutions And Support Price to Free Cash Flow Ratio Historical Data,Innovative Solutions And Support Price to Free Cash Flow Ratio Historical Data,Innovative Solutions And Support Price to Free Cash Flow Ratio Historical Data,Innovative Solutions And Support Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.98,,0.0
2024-12-31,8.54,$-0.09,0.0
2024-09-30,6.52,$0.18,36.59
2024-06-30,6.0,$0.46,12.94
2024-03-31,7.32,$0.34,21.37
2023-12-31,8.53,$0.36,23.81
2023-09-30,7.6,$0.10,73.64
2023-06-30,7.17,$0.18,38.82
2023-03-31,7.34,$0.43,17.0
2022-12-31,8.22,$0.52,15.73
2022-09-30,8.63,$0.50,17.15
2022-06-30,7.2,$0.41,17.65
2022-03-31,8.06,$0.32,24.81
2021-12-31,6.56,$0.24,27.71
2021-09-30,7.02,$0.25,28.44
2021-06-30,6.27,$0.29,21.64
2021-03-31,6.32,$0.22,28.14
2020-12-31,6.52,$0.23,28.36
2020-09-30,6.39,$0.12,52.68
2020-06-30,4.31,$0.02,177.3
2020-03-31,2.75,$0.08,33.52
2019-12-31,5.03,$0.11,46.86
2019-09-30,4.05,$0.12,33.86
2019-06-30,4.39,$0.10,44.48
2019-03-31,2.59,$-0.13,0.0
2018-12-31,1.95,$-0.26,0.0
2018-09-30,2.19,$-0.26,0.0
2018-06-30,2.51,$-0.24,0.0
2018-03-31,3.04,$-0.02,0.0
2017-12-31,2.53,$0.39,6.56
2017-09-30,3.14,$0.35,8.94
2017-06-30,3.79,$0.47,8.01
2017-03-31,2.6,$0.43,6.1
2016-12-31,2.87,$0.15,18.8
2016-09-30,2.75,$0.19,14.59
2016-06-30,2.43,$0.11,21.77
2016-03-31,2.27,$0.09,24.03
2015-12-31,2.38,$0.12,19.92
2015-09-30,2.34,$0.08,30.81
2015-06-30,2.84,$0.09,30.12
2015-03-31,3.27,$0.03,108.79
2014-12-31,2.74,$-0.09,0.0
2014-09-30,4.49,$-0.08,0.0
2014-06-30,6.41,$-0.17,0.0
2014-03-31,6.49,$-0.10,0.0
2013-12-31,6.28,$-0.09,0.0
2013-09-30,6.86,$-0.16,0.0
2013-06-30,5.51,$-0.05,0.0
2013-03-31,4.25,$-0.14,0.0
2012-12-31,2.96,$-0.06,0.0
2012-09-30,1.83,$0.07,26.14
2012-06-30,1.51,$0.01,113.89
2012-03-31,2.02,$0.10,21.2
2011-12-31,1.58,$0.09,17.64
2011-09-30,2.22,$0.12,18.46
2011-06-30,2.51,$0.27,9.15
2011-03-31,2.69,$0.41,6.57
2010-12-31,2.6,$0.33,7.93
2010-09-30,2.24,$0.32,6.96
2010-06-30,2.02,$0.18,11.02
2010-03-31,2.89,$0.15,19.42
2009-12-31,2.11,$0.35,5.97
