I-Mab Price to Free Cash Flow Ratio Historical Data,I-Mab Price to Free Cash Flow Ratio Historical Data,I-Mab Price to Free Cash Flow Ratio Historical Data,I-Mab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.86,,inf
2024-09-30,1.24,0.0,0.0
2024-06-30,1.67,0.0,0.0
2023-12-31,1.9,0.0,0.0
2023-09-30,1.32,0.0,0.0
2022-12-31,4.18,0.0,0.0
2022-06-30,11.3,0.0,0.0
